x1,x2,x3,x4,x5,x6,x7
0.00166607,0.273335,0.753669,0.0481251,51.0,41.0,130.097
0.00177416,0.0187977,0.434469,0.381138,51.0,41.0,18.9414
0.00151109,0.0357401,0.754919,0.0926483,51.0,41.0,80.2223
0.00305009,0.158419,0.981812,0.0236615,51.0,41.0,275.133
0.00295888,0.049243,0.901307,0.0342076,51.0,41.0,188.162
0.00533132,0.0522765,0.877878,0.0123232,51.0,41.0,514.398
0.00298739,0.0186947,0.457085,0.0322294,51.0,41.0,194.327
0.00186172,0.0245844,0.729844,0.12033,51.0,41.0,56.2838
0.00170408,0.11053,0.562622,0.053459,51.0,41.0,119.942
0.00223127,0.0347176,0.658108,0.0616867,51.0,41.0,105.499
0.00152232,0.222408,0.914335,0.0524067,51.0,41.0,123.197
0.00154351,0.115899,0.761632,0.0575906,51.0,41.0,113.769
0.00147259,0.10141,0.762082,0.0587876,51.0,41.0,113.352
0.00146701,0.124807,0.746689,0.0584711,51.0,41.0,108.746
0.002775,0.0197786,0.499129,0.058918,51.0,41.0,109.545
0.00428855,0.066947,0.755149,0.0145056,51.0,41.0,434.896
0.00265276,0.0913142,0.750347,0.0264903,51.0,41.0,238.131
0.00170126,0.0943111,0.779733,0.0616487,51.0,41.0,106.053
0.012748,0.00407553,0.863538,0.0102118,51.0,41.0,668.098
0.00312985,0.049432,0.358999,0.022319,51.0,41.0,285.934
0.00332058,0.200117,0.961383,0.0180817,51.0,41.0,351.441
0.0150528,0.00170309,0.586292,0.0183062,51.0,41.0,387.153
0.00379778,0.0380962,0.847723,0.0203152,51.0,41.0,304.775
0.00574151,0.0549815,0.549237,0.0101816,51.0,41.0,625.917
0.0179449,0.00146156,0.66393,0.528318,51.0,41.0,14.2556
0.0138766,0.00525776,0.80459,0.00784078,51.0,41.0,840.749
0.0066175,0.00933763,0.83502,0.016533,51.0,41.0,390.845
0.0109994,0.00148862,0.372242,0.0234919,51.0,41.0,287.721
0.00719874,0.0120878,0.842408,0.0159998,51.0,41.0,413.643
0.0106901,0.000983451,0.125524,0.0118196,51.0,41.0,555.584
0.00734653,0.00855938,0.950359,0.0219067,51.0,41.0,297.537
0.00855367,0.0106673,0.828987,0.0103301,51.0,41.0,629.944
0.00433428,0.0114381,0.763316,0.0493355,51.0,41.0,131.762
0.00311909,0.237614,0.79276,0.0182191,51.0,41.0,356.056
0.00510512,0.243189,0.342075,0.0109583,51.0,41.0,570.328
0.00587266,0.57872,0.762186,0.00834972,51.0,41.0,750.358
0.00677866,0.00447414,0.50688,0.0475924,51.0,41.0,139.289
0.00170327,0.326287,0.525519,0.0384498,51.0,41.0,162.875
0.00174252,0.024412,0.584382,0.406121,51.0,41.0,17.2557
0.0019045,0.0243437,0.595277,0.403916,51.0,41.0,17.0135
0.00385432,0.0406639,0.251712,0.0157125,51.0,41.0,400.822
0.002993,0.368968,0.217311,0.0162672,51.0,41.0,376.52
0.00229568,0.068434,0.172247,0.024564,51.0,41.0,255.438
0.00174496,0.0142805,0.360576,0.352193,51.0,41.0,19.7435
0.00172443,0.0267001,0.735228,0.220157,51.0,41.0,31.1451
0.00170505,0.0506193,0.903854,0.080409,51.0,41.0,82.202
0.00159952,0.327487,0.733144,0.0449907,51.0,41.0,142.647
0.00151054,0.0390906,0.752604,0.167117,51.0,41.0,42.509
0.00144935,0.0554103,0.820344,0.0782014,51.0,41.0,89.154
0.00156021,0.117493,0.787953,0.0672815,51.0,41.0,97.9075
0.00223072,0.00988088,0.214357,0.108271,51.0,41.0,61.3737
0.00949984,0.00357845,0.813311,0.389286,51.0,41.0,17.6274
0.0131856,0.00349818,0.947383,0.649474,51.0,41.0,10.8108
0.00386384,0.0119851,0.979325,0.281683,51.0,41.0,23.716
0.00564993,0.839681,0.0697727,0.00964093,51.0,41.0,669.921
0.00538734,0.0893157,0.17989,0.00957102,51.0,41.0,669.493
0.00211377,0.180401,0.986265,0.0290771,51.0,41.0,209.326
0.00252074,0.285932,0.708083,0.0229242,51.0,41.0,273.945
0.00279229,0.95454,0.388587,0.0211549,51.0,41.0,299.524
0.00263193,0.0118514,0.458571,0.342875,51.0,41.0,19.1562
0.0187941,0.00122663,0.660251,0.304398,51.0,41.0,24.4734
0.00332868,0.0432341,0.925479,0.022579,51.0,41.0,281.065
0.00476519,0.276751,0.9743,0.0110288,51.0,41.0,569.124
0.0149601,0.000460773,0.135474,0.0604072,51.0,41.0,114.078
0.0153077,0.000431677,0.128496,0.0624664,51.0,41.0,113.94
0.00490464,0.185813,0.83149,0.0110891,51.0,41.0,577.027
0.00239019,0.168472,0.520188,0.0249661,51.0,41.0,247.063
0.00236995,0.170806,0.519123,0.0256226,51.0,41.0,252.463
0.00200225,0.402454,0.343922,0.0334419,51.0,41.0,191.772
0.00346874,0.493856,0.128613,0.0158504,51.0,41.0,393.412
0.00573279,0.1137,0.0925353,0.00920974,51.0,41.0,678.196
0.0254656,0.00100492,0.965877,0.0411186,51.0,41.0,190.842
0.00218283,0.844377,0.853433,0.0242226,51.0,41.0,252.184
0.00489513,0.00490167,0.179476,0.0301573,51.0,41.0,210.974
0.00981328,0.0030219,0.980617,0.0834507,51.0,41.0,83.5278
0.00466938,0.00711376,0.169875,0.0208654,51.0,41.0,308.055
0.0153489,0.000651991,0.181804,0.0104488,51.0,41.0,643.807
0.00519801,0.00964597,0.823316,0.104394,51.0,41.0,63.9731
0.00305474,0.0142184,0.43799,0.508667,51.0,41.0,12.9356
0.00682653,0.278926,0.941804,0.00745239,51.0,41.0,839.724
0.00178363,0.172502,0.720605,0.0403497,51.0,41.0,154.934
0.024729,0.000708257,0.672734,0.00938603,51.0,41.0,854.366
0.00282986,0.0134784,0.207695,0.0332944,51.0,41.0,197.739
0.00284847,0.0195371,0.3757,0.0318718,51.0,41.0,200.79
0.0027904,0.0318264,0.425727,0.0292229,51.0,41.0,216.597
