x1,x2,x3,x4,x5,x6,x7
0.0016384,0.0445349,0.627406,0.071002,51.0,41.0,94.6426
0.00500357,0.0226459,1.0497,0.0183608,51.0,41.0,349.517
0.0159774,0.00105144,0.405988,0.0431522,51.0,41.0,165.095
0.0140031,0.00235966,0.963485,0.035468,51.0,41.0,196.779
0.00668947,0.0060183,0.254642,0.0121594,51.0,41.0,531.476
0.00612288,0.0120965,1.03368,0.0218686,51.0,41.0,302.102
0.00540892,0.040637,0.741233,0.0146092,51.0,41.0,441.274
0.0169148,0.00160778,0.753713,0.0169337,51.0,41.0,428.036
0.00492013,0.0109949,0.757114,0.033706,51.0,41.0,194.017
0.0168865,0.000808358,0.558938,0.0367969,51.0,41.0,202.368
0.00217069,0.0149949,0.466922,0.0643792,51.0,41.0,103.191
0.00992539,0.00566247,1.02172,0.0121403,51.0,41.0,549.745
0.0140076,0.00557347,1.01465,0.0112597,51.0,41.0,589.54
0.0125108,0.00388757,1.0209,0.00975402,51.0,41.0,707.358
0.00587416,0.0097912,0.815593,0.0169035,51.0,41.0,388.682
0.00912833,0.0106401,0.997905,0.0105923,51.0,41.0,621.187
0.00543841,0.0530393,1.0026,0.0121651,51.0,41.0,525.764
0.00815316,0.037299,0.874621,0.00776699,51.0,41.0,818.068
0.00676916,0.00381192,0.25664,0.0174319,51.0,41.0,371.588
0.0137571,0.00270927,1.0422,0.0408344,51.0,41.0,174.978
0.0150128,0.00195147,0.96265,0.0813684,51.0,41.0,85.9094
0.0120908,0.00235642,0.548835,0.372762,51.0,41.0,18.7399
0.00676208,0.280222,0.790296,0.00819917,51.0,41.0,778.351
0.00238622,0.0267491,0.567132,0.0486972,51.0,41.0,132.319
0.0140232,0.00172817,0.690966,0.0349384,51.0,41.0,203.452
0.0184725,0.000922167,0.675517,0.0385685,51.0,41.0,188.457
0.00655957,0.011452,0.318672,0.00938579,51.0,41.0,677.451
0.00141131,0.0315403,1.05251,0.132925,51.0,41.0,61.631
0.00181212,0.0706027,1.0544,0.0962927,51.0,41.0,68.6261
0.00719403,0.00214512,0.129824,0.241676,51.0,41.0,27.9483
0.00688704,0.00227243,0.119503,0.272757,51.0,41.0,24.8302
0.0143588,0.00293098,1.06441,0.349886,51.0,41.0,20.2422
0.0085031,0.00501492,1.06647,0.0680125,51.0,41.0,97.0969
0.0128446,0.00160097,0.518402,0.168036,51.0,41.0,42.6786
0.00888085,0.0671559,0.830299,0.00669712,51.0,41.0,958.618
0.0154559,0.00110335,0.493717,0.0868748,51.0,41.0,82.0694
0.00687421,0.0670983,0.82022,0.0083787,51.0,41.0,740.174
0.0253845,0.000869207,0.750107,0.0104679,51.0,41.0,749.616
0.00196913,0.22272,0.622462,0.0356652,51.0,41.0,180.792
0.0025529,0.059287,0.602903,0.031115,51.0,41.0,204.252
0.00422892,0.00944248,0.645717,0.0611513,51.0,41.0,106.738
0.00959867,0.00352017,0.691866,0.0398544,51.0,41.0,168.824
0.00349706,0.0414702,0.880565,0.0274931,51.0,41.0,234.558
0.00525741,0.0233794,0.6149,0.0144889,51.0,41.0,439.317
0.0102217,0.0197116,1.01423,0.00751883,51.0,41.0,862.39
0.00882819,0.00365304,0.662585,0.0604638,51.0,41.0,111.837
0.0153745,0.00162435,0.601271,0.0112533,51.0,41.0,624.72
0.0118142,0.00196928,0.829548,0.0778483,51.0,41.0,92.1143
0.00666556,0.00363293,0.53092,0.264402,51.0,41.0,25.5394
0.00864408,0.164554,0.540607,0.00626501,51.0,41.0,1006.22
0.00825532,0.00451595,0.697179,0.342887,51.0,41.0,19.559
0.00673144,0.00375239,0.519846,0.0575085,51.0,41.0,114.506
0.0100916,0.00609645,0.925859,0.0117035,51.0,41.0,559.527
0.005189,0.00856503,0.535207,0.0213481,51.0,41.0,300.405
0.00141735,0.412707,0.539798,0.0535845,51.0,41.0,122.805
0.00125901,0.433175,0.443644,0.0788397,51.0,41.0,83.3732
0.0433237,0.000280284,0.922472,0.0231578,51.0,41.0,476.447
0.0154335,0.00182084,0.572998,0.0346388,51.0,41.0,195.895
0.0139765,0.0021641,0.595656,0.0336147,51.0,41.0,201.929
0.00943453,0.0326491,0.449602,0.00684406,51.0,41.0,930.266
0.0019362,0.495187,0.70003,0.0319773,51.0,41.0,191.869
0.00162557,0.138891,0.828403,0.0585775,51.0,41.0,107.494
0.00158283,0.135245,0.832009,0.0586074,51.0,41.0,114.399
0.0053449,0.0240374,0.41636,0.0117241,51.0,41.0,528.355
0.00617041,0.00362414,0.137561,0.0130319,51.0,41.0,480.911
0.00821301,0.0133124,1.08473,0.0102847,51.0,41.0,614.818
0.0106598,0.00401347,0.890298,0.038529,51.0,41.0,173.155
0.0101524,0.00422511,0.911709,0.0390177,51.0,41.0,175.093
0.00804246,0.00496081,0.590304,0.0407603,51.0,41.0,161.524
0.00404017,0.00578534,0.478106,0.0529149,51.0,41.0,124.807
0.00165204,0.114716,0.479007,0.0661351,51.0,41.0,97.6153
0.00341125,0.0230957,0.974571,0.0294948,51.0,41.0,219.998
0.00373596,0.0300521,0.979638,0.0304923,51.0,41.0,210.414
0.00939015,0.00546519,0.63696,0.0140496,51.0,41.0,455.301
0.00512341,0.0336653,0.726241,0.0138479,51.0,41.0,468.12
0.00368679,0.278983,0.629778,0.015857,51.0,41.0,401.294
0.00648128,0.00740343,0.887673,0.117477,51.0,41.0,56.9455
0.00599818,0.069242,0.806,0.0108252,51.0,41.0,591.138
0.019862,0.000692489,0.517721,0.0243627,51.0,41.0,311.612
0.00393088,0.0097777,0.775247,0.080481,51.0,41.0,83.5164
0.0263398,0.000715333,0.499528,0.354061,51.0,41.0,22.6008
0.0150617,0.00166648,0.764946,0.0811424,51.0,41.0,88.7221
0.00639593,0.136387,0.514688,0.0077923,51.0,41.0,810.74
0.00455842,0.015295,1.05465,0.0620451,51.0,41.0,105.784
0.00189549,0.0444066,0.968591,0.144394,51.0,41.0,46.1703
0.00177684,0.0281207,0.995004,0.171327,51.0,41.0,40.2416
0.00223246,0.0156023,0.402021,0.178746,51.0,41.0,36.5528
0.00157586,0.154729,0.72014,0.0579584,51.0,41.0,109.429
0.00142232,0.252294,0.684223,0.055586,51.0,41.0,113.547
0.0146004,0.00248224,0.862155,0.0123601,51.0,41.0,569.727
0.00338059,0.025545,0.647525,0.0246881,51.0,41.0,256.922
0.00786005,0.13347,0.590747,0.00654928,51.0,41.0,965.234
0.0133442,0.00152189,0.444554,0.312868,51.0,41.0,22.7241
0.00179087,0.0467082,1.09638,0.161447,51.0,41.0,41.3069
0.00186968,0.0356674,1.08482,0.110397,51.0,41.0,60.2537
0.00191974,0.427606,0.929401,0.0376642,51.0,41.0,167.319
0.00552836,0.00664566,0.480292,0.0282807,51.0,41.0,227.605
0.00589519,0.00797267,0.139281,0.0114057,51.0,41.0,556.54
0.00367215,0.263681,0.308171,0.0148544,51.0,41.0,418.81
0.00401703,0.322041,0.274104,0.0128593,51.0,41.0,499.732
0.00316913,0.0306145,1.03762,0.0468286,51.0,41.0,143.908
0.0190969,0.00119395,0.64608,0.032588,51.0,41.0,212.177
0.00374551,0.025129,0.424106,0.02233,51.0,41.0,286.801
0.0158456,0.00277339,0.931307,0.00934339,51.0,41.0,740.747
0.010295,0.0127162,1.00256,0.00904158,51.0,41.0,726.622
0.00609099,0.067637,0.795607,0.0106935,51.0,41.0,594.946
0.00576916,0.0766052,0.770956,0.0106449,51.0,41.0,596.773
