x1,x2,x3,x4,x5
0.0121071,0.00729403,51.4335,40.9982,0.000437063
0.0116509,0.00723133,51.3631,41.0411,0.00044108
0.0123224,0.00547302,51.4221,39.987,0.000404548
0.0126204,0.00534944,51.3858,40.1811,0.000404335
0.0106319,0.00763115,51.2069,40.5615,0.00048387
0.0106507,0.00658548,51.1339,40.0669,0.000455157
0.0105514,0.0064369,51.1157,39.9787,0.000465196
0.0109566,0.00758906,51.242,41.9763,0.000453411
0.0117418,0.00738684,51.1486,41.2011,0.000449053
0.00993475,0.00791581,51.3677,40.5013,0.000500054
0.00908105,0.0075182,51.3744,40.7776,0.000516152
0.015204,0.00463562,51.0906,41.3403,0.000354529
0.0140003,0.00522615,51.2062,42.3238,0.000364105
0.0131682,0.00654407,50.8645,42.6535,0.000398894
0.0110284,0.00692891,51.4033,39.8981,0.00046101
0.00979736,0.00748344,51.4211,39.5311,0.00050462
0.0106535,0.00674395,51.3573,40.1185,0.000456314
0.0140451,0.00575186,50.9597,41.828,0.000374793
0.0146844,0.00566677,51.1124,42.2899,0.000366665
0.0139672,0.00547397,51.022,43.213,0.000364273
0.0134386,0.00449802,51.3395,40.053,0.000379631
0.0118704,0.00507849,51.2063,41.0227,0.000400764
0.0132362,0.00514607,51.2836,40.7245,0.000388593
0.0129935,0.00570164,51.1615,40.6289,0.000398276
0.0113078,0.00712949,51.0513,42.6992,0.000438328
0.0131098,0.00611763,51.0388,41.6437,0.000399505
0.0138819,0.00483132,51.1183,42.3049,0.000362857
0.0137872,0.00488178,51.1609,42.2123,0.00036747
0.0134625,0.00597932,50.9445,41.6422,0.000387558
0.0120378,0.00664091,51.2903,42.4023,0.000410168
0.0126449,0.00478156,51.0562,41.1519,0.000383688
0.0117389,0.007221,51.4027,40.5692,0.000442123
0.0108435,0.00753883,51.1522,41.3608,0.000470033
0.0122075,0.00636372,51.1599,40.8838,0.00042113
0.0109484,0.00621318,51.3199,40.8232,0.000438266
0.0105659,0.00706217,51.3921,39.7772,0.000472665
0.014412,0.00566092,50.9415,42.7863,0.000369005
0.0130297,0.0057622,51.0295,41.9669,0.000392558
0.0120268,0.00625387,51.1732,41.4643,0.000415193
0.00971445,0.00719788,51.4097,39.6044,0.000498392
0.00968987,0.00702869,51.6445,39.1684,0.000495881
0.00982875,0.00785059,51.2013,40.1626,0.000506386
0.010021,0.00770031,51.2248,40.231,0.000506589
0.0109322,0.00725716,51.3143,41.0335,0.000464623
0.011892,0.00656986,51.2819,40.9195,0.000425675
0.0122751,0.00693784,51.1728,40.8774,0.000427847
0.0116776,0.00701855,51.1501,41.7255,0.000439229
0.0114551,0.00658535,51.4166,40.1542,0.000438129
0.0107317,0.00584402,51.4942,39.8089,0.000447257
0.0108171,0.00595477,51.4973,39.8226,0.000445532
0.0118485,0.0061624,51.2568,40.6092,0.000425707
0.012081,0.00639456,51.2445,40.2534,0.000429786
0.0121269,0.00529375,51.2449,41.5713,0.000392873
0.0128297,0.00662897,51.3705,40.3659,0.000422065
0.0114411,0.00622696,51.1638,41.3886,0.000425644
0.0099938,0.00704781,51.3725,40.0714,0.000485954
0.0107303,0.00790993,51.3688,39.9606,0.000485933
0.0108325,0.00804629,51.4097,40.1068,0.000485231
0.00901307,0.00631431,51.4162,39.7071,0.00049861
0.00971279,0.00721197,51.4973,40.0698,0.000493423
0.0103445,0.00749401,51.4263,39.3889,0.000489988
0.0109708,0.0064075,51.338,40.8879,0.000433322
0.0122767,0.00715446,51.2747,40.6904,0.000429307
0.0115567,0.00701739,51.2543,40.3563,0.000442577
0.0116866,0.0073582,51.2598,40.9924,0.000451473
0.0111126,0.00685395,51.2888,40.2295,0.00046104
0.0109284,0.00694462,51.3045,40.3007,0.000455064
0.0120825,0.00551366,51.2582,41.038,0.000409586
0.0121386,0.00635658,51.2855,41.3158,0.000412174
0.0137234,0.00566244,51.0941,41.9369,0.000382274
0.0103839,0.00723842,51.1838,41.4323,0.000474418
0.0122654,0.00658388,51.1698,41.8769,0.000418016
0.0121902,0.00660401,51.1664,41.6595,0.000414939
0.0125688,0.00661859,51.1868,41.8317,0.000414167
0.00983222,0.00759589,51.3062,40.0743,0.000499967
0.00968815,0.00755439,51.3429,40.1499,0.0005098
0.00911664,0.00884548,51.7078,38.5177,0.000567697
0.00917435,0.00880265,51.7174,38.6156,0.000566062
0.00790193,0.00739246,51.3381,39.2686,0.00057556
0.00881112,0.00752551,51.6207,39.4016,0.000539402
0.00890388,0.00750582,51.5536,38.9983,0.000536505
0.012841,0.00593214,51.193,41.3079,0.000395138
0.0121262,0.00624525,51.1979,41.2701,0.000412091
0.011906,0.00598375,51.1407,41.33,0.00041063
0.0117603,0.0059573,51.1631,41.277,0.000419218
0.0108542,0.00605237,51.1976,40.3743,0.000446841
0.0125974,0.00587088,51.3346,40.3923,0.000408504
0.0110804,0.00682469,51.1958,41.4935,0.000442799
0.0127035,0.00670224,51.2889,41.2169,0.000414729
0.0136484,0.00475076,51.0634,42.1388,0.000364956
0.0104701,0.0073538,51.3782,40.3557,0.000477982
0.0111449,0.00748068,51.4347,40.4606,0.000458199
0.0112753,0.0056786,51.2582,40.1934,0.000430823
0.0124132,0.00596689,51.3066,41.3611,0.000400854
0.0128143,0.00524228,51.0233,41.5875,0.000389065
0.0130503,0.00455773,51.3724,40.521,0.000380932
0.0131547,0.00576656,51.2685,40.4978,0.00039657
0.0112531,0.0064104,51.2029,40.9709,0.000438358
0.0118349,0.00591291,51.1731,41.2005,0.000412794
0.0115512,0.00643982,51.2028,40.4899,0.000435002
0.0117277,0.00651532,51.263,40.9176,0.000432994
0.0117256,0.00666943,51.2998,40.8154,0.000430272
0.0118931,0.00571913,51.2129,40.8489,0.000409711
0.0126214,0.00753433,51.3709,41.2578,0.000429436
0.0115154,0.00500169,51.3645,39.8583,0.000411303
0.00961607,0.00841648,51.2226,41.056,0.0005246
0.00933081,0.00686227,51.1146,40.5834,0.000498394
0.011269,0.0071108,51.5006,39.9188,0.000458693
0.011017,0.00742928,51.405,40.3947,0.000466756
0.0106664,0.00708915,51.3554,40.1187,0.000463292
0.0108947,0.00668277,51.3231,39.7997,0.000464797
0.0107889,0.00677575,51.3364,39.7144,0.000457438
0.011563,0.00681198,51.1868,40.5757,0.000442738
0.0111344,0.00608745,51.3063,40.9968,0.000428668
0.0121355,0.00602816,51.2567,40.7659,0.000416859
0.0115946,0.00606547,51.122,40.9413,0.000425707
0.01243,0.00629396,51.2222,41.4267,0.000410557
0.0130481,0.00656747,51.2347,41.2976,0.000407506
0.012977,0.00693261,51.2568,42.2758,0.0004029
0.0125685,0.00627613,51.2828,41.4787,0.000412351
0.0128531,0.00611249,51.3349,41.106,0.000405785
0.0130622,0.00445228,51.0022,41.7381,0.000364544
0.0135732,0.00493043,51.0029,42.2525,0.000372578
0.013458,0.00406996,50.9564,42.1614,0.000356391
0.0134081,0.00432209,50.9129,42.0218,0.00036257
0.0131789,0.0050702,51.0011,41.8593,0.000380019
0.0119129,0.00617346,51.1815,40.9666,0.000421792
0.0118943,0.00609894,51.1849,40.8176,0.000419933
0.0119394,0.00655805,51.2067,41.7489,0.000421933
0.01042,0.00777197,51.0763,40.855,0.000487932
0.0104025,0.00834285,51.2442,41.3238,0.00049228
0.0111862,0.00724294,51.3439,41.1226,0.000452187
0.0133478,0.0051615,51.1074,42.2275,0.000374315
0.0134718,0.00571639,51.0228,42.625,0.000377923
0.0137395,0.00564278,51.0106,41.9766,0.000380874
0.0119468,0.0069616,51.3324,40.5904,0.000436081
0.0113404,0.00605658,51.3475,40.4316,0.000430315
0.0117641,0.00628191,51.2877,40.0732,0.000433285
0.0118486,0.00605564,51.1915,41.016,0.000417865
0.0110734,0.00654922,51.2994,40.1989,0.000453311
0.011811,0.0057609,51.1829,40.6952,0.000417467
0.0117054,0.00673663,51.0536,41.3082,0.000434386
0.0118632,0.00685248,51.1411,42.0496,0.000424147
0.0136366,0.00553815,51.0275,41.9318,0.000381223
0.0148007,0.00577908,51.0762,42.9433,0.000364759
0.0159291,0.00361962,51.0329,41.9982,0.000328644
0.0151528,0.00429287,51.1008,42.8281,0.000337059
0.0102102,0.00751785,51.268,41.1732,0.000484176
0.0100845,0.00746538,51.2432,41.3273,0.000485494
