# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrAllosteric_model
# start_datetime = 2024-07-17 14:42:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 750
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 2
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrAllosteric_2.data.R
# init = 2 (Default)
# random
#   seed = 3360580831 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrAllosteric_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,T1_P,T1_X,kin,kpl,kf,kr,a1,a2,a3,b1,b2,b3,ScFm,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1
-8.46463e+09,1,1.21595e-05,1,1,0,8.69688e+09,0.529855,-1.24207,-0.00869389,0.559724,0.404817,-0.66949,-0.256066,-0.690354,1.85625,0.0986396,-0.458468,-1.54123,-1.70011,1.98474,28.4993,56.5285,0.00502848,0.450472,0.301001,0.0332694,0.000441624,0.328084,0.000964422,0.525135,0.000391529,0.0732417,14.6068,697.333
-8.46463e+09,0,15.5259,0,1,1,8.46463e+09,0.529855,-1.24207,-0.00869389,0.559724,0.404817,-0.66949,-0.256066,-0.690354,1.85625,0.0986396,-0.458468,-1.54123,-1.70011,1.98474,28.4993,56.5285,0.00502848,0.450472,0.301001,0.0332694,0.000441624,0.328084,0.000964422,0.525135,0.000391529,0.0732417,14.6068,697.333
-8.46463e+09,0,2.77482,0,1,1,8.46463e+09,0.529855,-1.24207,-0.00869389,0.559724,0.404817,-0.66949,-0.256066,-0.690354,1.85625,0.0986396,-0.458468,-1.54123,-1.70011,1.98474,28.4993,56.5285,0.00502848,0.450472,0.301001,0.0332694,0.000441624,0.328084,0.000964422,0.525135,0.000391529,0.0732417,14.6068,697.333
-8.46463e+09,0,0.181375,0,1,1,8.46463e+09,0.529855,-1.24207,-0.00869389,0.559724,0.404817,-0.66949,-0.256066,-0.690354,1.85625,0.0986396,-0.458468,-1.54123,-1.70011,1.98474,28.4993,56.5285,0.00502848,0.450472,0.301001,0.0332694,0.000441624,0.328084,0.000964422,0.525135,0.000391529,0.0732417,14.6068,697.333
-8.46463e+09,0,0.00707153,0,1,1,8.46463e+09,0.529855,-1.24207,-0.00869389,0.559724,0.404817,-0.66949,-0.256066,-0.690354,1.85625,0.0986396,-0.458468,-1.54123,-1.70011,1.98474,28.4993,56.5285,0.00502848,0.450472,0.301001,0.0332694,0.000441624,0.328084,0.000964422,0.525135,0.000391529,0.0732417,14.6068,697.333
-8.46463e+09,0,0.000505958,0,1,1,8.46463e+09,0.529855,-1.24207,-0.00869389,0.559724,0.404817,-0.66949,-0.256066,-0.690354,1.85625,0.0986396,-0.458468,-1.54123,-1.70011,1.98474,28.4993,56.5285,0.00502848,0.450472,0.301001,0.0332694,0.000441624,0.328084,0.000964422,0.525135,0.000391529,0.0732417,14.6068,697.333
-8.46463e+09,0,5.17932e-05,0,1,1,8.46463e+09,0.529855,-1.24207,-0.00869389,0.559724,0.404817,-0.66949,-0.256066,-0.690354,1.85625,0.0986396,-0.458468,-1.54123,-1.70011,1.98474,28.4993,56.5285,0.00502848,0.450472,0.301001,0.0332694,0.000441624,0.328084,0.000964422,0.525135,0.000391529,0.0732417,14.6068,697.333
-7.96118e+09,0.967742,1.22451e-06,4,31,1,8.46458e+09,0.512717,-1.24558,-0.00149029,0.559957,0.40479,-0.669502,-0.256063,-0.690365,1.85625,0.0986502,-0.458457,-1.54124,-1.99309,1.98474,28.4642,56.3572,0.00504631,0.450513,0.300998,0.0332691,0.000441624,0.328081,0.000964422,0.525138,0.000391532,0.0732404,13.9358,697.334
-7.95744e+09,1,1.63436e-06,1,1,0,7.96118e+09,0.512588,-1.24561,-0.0014336,0.559957,0.404793,-0.669503,-0.256065,-0.690367,1.85625,0.0986516,-0.458458,-1.54124,-1.99532,1.98475,28.4639,56.3559,0.00504645,0.450513,0.300998,0.0332691,0.000441624,0.328081,0.000964421,0.525138,0.000391532,0.0732406,13.9307,697.334
-7.95744e+09,0,5.66566e-06,0,1,1,7.95744e+09,0.512588,-1.24561,-0.0014336,0.559957,0.404793,-0.669503,-0.256065,-0.690367,1.85625,0.0986516,-0.458458,-1.54124,-1.99532,1.98475,28.4639,56.3559,0.00504645,0.450513,0.300998,0.0332691,0.000441624,0.328081,0.000964421,0.525138,0.000391532,0.0732406,13.9307,697.334
