# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrMichMent_Try2_model
# start_datetime = 2025-04-07 17:04:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = d:\David\BayesianInferencesInSilicoScripts\BayesianInferencesInSilicoScripts\tmp\PyrMichMent_Try2_1.data.R
# init = 2 (Default)
# random
#   seed = 408891310 (Default)
# output
#   file = d:\David\BayesianInferencesInSilicoScripts\BayesianInferencesInSilicoScripts\tmp\PyrMichMent_Try2_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kf,kr,kpl,T1_P,T1_X,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,inits.1
-3162,1,0.0149039,1,1,0,566622,-1.99503,-0.44986,0.184078,-1.87468,-1.5915,1.51548,-1.99999,0.000248324,0.193768,0.600622,0.0125321,51,41,0.0024474
-3162,0,7.22728,0,1,1,3164.73,-1.99503,-0.44986,0.184078,-1.87468,-1.5915,1.51548,-1.99999,0.000248324,0.193768,0.600622,0.0125321,51,41,0.0024474
-3157.29,0.204631,2.3386,1,3,1,3165.37,-1.75762,1.38505,0.679315,-1.94404,-2.99452,-2.0741,-1.99991,0.0121192,0.423131,0.736812,0.00559645,51,41,0.0245015
-3157.68,0.851123,0.244095,4,15,0,3158.99,-1.79764,1.36972,0.695288,-1.95585,-3.12882,-2.32336,-1.99991,0.0101181,0.421216,0.741204,0.0044149,51,41,0.0249161
-3159.5,0.652723,0.26238,2,7,1,3162.71,-1.85732,1.11657,1.13379,-1.97602,-3.0468,-3.05321,-1.99996,0.00713399,0.389571,0.861793,0.00239843,51,41,0.0110143
-3157.24,0.89878,0.086281,5,61,1,3160.62,-1.84195,0.663406,0.834074,-1.95634,-2.60854,-4.16579,-1.99989,0.00790273,0.332926,0.77937,0.00436612,51,41,0.0308507
-3156.54,0.971623,0.0928865,5,31,0,3158.25,-1.82098,0.582252,1.26748,-1.90837,-2.7496,-4.16122,-1.99988,0.00895108,0.322782,0.898558,0.00916294,51,41,0.0316548
-3156.12,0.739836,0.190817,3,13,1,3161.72,-1.45774,-0.765905,1.06188,-1.94787,-1.67472,-6.2178,-1.99989,0.0271132,0.154262,0.842016,0.00521293,51,41,0.0302902
-3155.04,0.830174,0.0791492,4,26,1,3158.63,-1.78795,-0.920912,1.17465,-1.95803,-1.85063,-6.25862,-1.99932,0.0106023,0.134886,0.873029,0.00419738,51,41,0.188181
-3156.87,0.835902,0.124402,4,22,1,3158.5,-1.81594,0.093785,1.29711,-1.97577,-0.780889,-4.8737,-1.99969,0.00920324,0.261723,0.906707,0.00242305,51,41,0.0841195
-3156.62,0.866058,0.0761599,5,36,1,3160.3,-1.76285,1.38184,1.12782,-1.9821,-0.511101,-6.28182,-1.99938,0.0118574,0.42273,0.86015,0.00179001,51,41,0.170481
-3154.56,0.878458,0.0452666,5,49,1,3159.08,-1.77635,1.47792,1.36674,-1.90591,-0.67994,-6.54783,-1.99942,0.0111825,0.43474,0.925854,0.00940873,51,41,0.159862
-3153.5,0.681378,0.122402,3,12,1,3158.75,-1.62845,1.54585,1.49918,-1.87757,-0.507334,-6.73918,-1.99935,0.0185774,0.443231,0.962273,0.0122434,51,41,0.178838
-3153.61,0.792191,0.0752952,4,23,1,3154.98,-1.54945,1.39688,1.58724,-1.87665,-0.597806,-6.69844,-1.99944,0.0225274,0.42461,0.986492,0.0123351,51,41,0.155349
-3153.81,0.889166,0.0357933,5,56,1,3156.08,-1.41123,1.42614,1.60804,-1.87948,-0.17365,-6.96732,-1.9995,0.0294387,0.428268,0.992211,0.012052,51,41,0.13771
-3153.92,0.898719,0.0655011,5,45,1,3164.64,-1.10637,-0.746537,-0.866605,-1.78997,-3.60001,-3.75437,-1.99989,0.0446813,0.156683,0.311684,0.0210027,51,41,0.0293153
-3155.78,0.934041,0.0355404,6,105,1,3157.75,-1.61558,-0.935053,-0.957829,-1.86573,-4.20991,-3.08125,-1.99992,0.0192211,0.133118,0.286597,0.0134274,51,41,0.021109
-3156.2,0.827044,0.0905219,4,26,1,3157.3,-1.65861,-1.12951,-0.708143,-1.8701,-4.12969,-2.77138,-1.99994,0.0170695,0.108812,0.355261,0.0129897,51,41,0.0169772
-3155.47,0.895541,0.0481257,5,56,1,3158.12,-1.60038,-1.41836,-0.851395,-1.62391,-4.03454,-3.25469,-1.99995,0.0199811,0.0727046,0.315866,0.0376086,51,41,0.0132605
-3154.73,0.891398,0.0696939,5,43,1,3159.14,-0.574074,-1.31567,-1.45782,-1.87812,-4.19099,-4.35775,-1.99983,0.0712963,0.0855407,0.149099,0.0121876,51,41,0.0458534
-3154.77,0.755922,0.157232,3,14,1,3158.53,0.608448,-1.44662,-1.12826,-1.88969,-3.89576,-3.41161,-1.99984,0.130422,0.0691723,0.239728,0.0110313,51,41,0.0429438
-3150.64,0.800565,0.148307,4,23,1,3156.58,0.113554,-1.49879,0.996204,-1.81273,-3.33589,-4.66726,-1.99938,0.105678,0.0626512,0.823956,0.0187275,51,41,0.171275
-3137.56,0.624425,0.100808,3,10,1,3153.66,-0.0881386,-1.61747,0.331656,-1.59619,-3.05299,-5.12422,-1.99839,0.0955931,0.0478159,0.641205,0.0403811,51,41,0.44271
-3127.29,0.634852,0.0563122,3,15,0,3142.27,-0.0504909,-1.5804,0.404588,-1.45311,-3.0142,-5.00203,-1.99798,0.0974755,0.0524498,0.661262,0.0546889,51,41,0.556061
-3102.77,0.512269,0.0333269,3,13,1,3131.05,0.135415,-1.63455,0.716291,-1.25182,-2.85754,-5.17886,-1.997,0.106771,0.0456814,0.74698,0.0748185,51,41,0.823787
-3065.81,0.948793,0.0130893,4,15,0,3105.91,0.153243,-1.56804,0.561563,-1.01328,-2.86616,-5.07177,-1.99599,0.107662,0.0539944,0.70443,0.0986716,51,41,1.10337
-3062.43,0.799494,0.0197053,3,7,0,3068.75,0.142514,-1.55728,0.58954,-0.99588,-2.85624,-5.05769,-1.9959,0.107126,0.0553404,0.712123,0.100412,51,41,1.12756
-3050.96,0.716036,0.0199866,3,7,0,3064.79,0.0974965,-1.54804,0.533072,-0.963744,-2.85478,-5.04306,-1.99551,0.104875,0.0564947,0.696595,0.103626,51,41,1.23571
-3048.95,0.894593,0.0130976,3,7,0,3056.11,0.15037,-1.5418,0.579787,-0.949109,-2.89836,-5.09037,-1.99548,0.107518,0.057275,0.709442,0.105089,51,41,1.24353
-2874.9,0.697037,0.00632668,5,31,0,3055.66,0.216812,-1.59983,0.662744,-0.681387,-2.98588,-5.27358,-1.99001,0.110841,0.0500213,0.732255,0.131861,51,41,2.7478
-2869.32,0.985343,0.00477774,3,7,0,2877.05,0.218292,-1.60519,0.672397,-0.666297,-2.98016,-5.28677,-1.98991,0.110915,0.0493511,0.734909,0.13337,51,41,2.77385
-2869.32,0.370933,0.018897,2,3,0,2873.01,0.218292,-1.60519,0.672397,-0.666297,-2.98016,-5.28677,-1.98991,0.110915,0.0493511,0.734909,0.13337,51,41,2.77385
-2847.26,0.913152,0.00238968,5,31,0,2873.44,0.235641,-1.61975,0.687923,-0.623539,-2.97857,-5.26643,-1.98943,0.111782,0.0475311,0.739179,0.137646,51,41,2.90678
-2678.44,0.820864,0.00587724,4,15,0,2848.53,0.231936,-1.61708,0.701588,-0.427224,-2.99097,-5.22635,-1.98531,0.111597,0.0478648,0.742937,0.157278,51,41,4.04046
-2667.3,0.919533,0.00369551,4,15,0,2680.59,0.228873,-1.61669,0.707732,-0.426234,-3.00071,-5.21579,-1.98495,0.111444,0.0479136,0.744626,0.157377,51,41,4.13874
-2604.08,0.50078,0.00653024,3,15,0,2668.6,0.220212,-1.62151,0.713737,-0.368473,-2.99416,-5.19968,-1.98346,0.111011,0.0473115,0.746278,0.163153,51,41,4.54968
-2425.77,0.942892,0.00241265,4,15,0,2608.87,0.202651,-1.62342,0.668896,-0.270516,-3.00375,-5.20483,-1.97883,0.110133,0.0470722,0.733947,0.172948,51,41,5.82127
-811.415,0.680445,0.00368084,4,23,0,2421.93,0.30908,-1.6365,0.642565,0.394183,-3.01422,-5.21407,-1.92872,0.115454,0.0454379,0.726705,0.239418,51,41,19.6014
-802.483,1,0.00344005,2,3,0,812.055,0.311448,-1.63605,0.643974,0.396035,-3.01329,-5.21486,-1.92815,0.115572,0.0454937,0.727093,0.239603,51,41,19.7587
