# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrMichMent_Try2_model
# start_datetime = 2025-04-07 17:04:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 3
# data
#   file = d:\David\BayesianInferencesInSilicoScripts\BayesianInferencesInSilicoScripts\tmp\PyrMichMent_Try2_3.data.R
# init = 2 (Default)
# random
#   seed = 408891310 (Default)
# output
#   file = d:\David\BayesianInferencesInSilicoScripts\BayesianInferencesInSilicoScripts\tmp\PyrMichMent_Try2_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kf,kr,kpl,T1_P,T1_X,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,inits.1
-2868.19,1,0.00869329,1,1,0,248411,1.37568,1.39262,0.680851,-1.95522,0.822424,0.0231202,-1.69925,0.168784,0.424077,0.737234,0.00447804,51,41,82.7072
-2868.19,0,10.5727,0,1,1,2872.97,1.37568,1.39262,0.680851,-1.95522,0.822424,0.0231202,-1.69925,0.168784,0.424077,0.737234,0.00447804,51,41,82.7072
-2868.19,0,1.27559,0,1,1,2871.73,1.37568,1.39262,0.680851,-1.95522,0.822424,0.0231202,-1.69925,0.168784,0.424077,0.737234,0.00447804,51,41,82.7072
-643.539,0.666667,0.104811,1,3,1,2107.99,1.40517,1.39308,0.634584,-1.81227,0.629945,0.0398571,-0.885145,0.170259,0.424135,0.72451,0.0187731,51,41,306.585
-643.539,0,0.0386221,0,1,1,645.727,1.40517,1.39308,0.634584,-1.81227,0.629945,0.0398571,-0.885145,0.170259,0.424135,0.72451,0.0187731,51,41,306.585
-612.204,0.995553,0.00236997,5,47,0,646.399,1.40454,1.41853,0.655362,-1.79402,0.63644,0.0281615,-0.808586,0.170227,0.427316,0.730225,0.020598,51,41,327.639
-611.146,0.98651,0.00534692,5,63,0,614.397,1.35795,1.3718,0.736765,-1.80493,0.750899,-0.0499038,-0.747991,0.167897,0.421475,0.75261,0.0195075,51,41,344.302
-611.66,0.994316,0.00849834,8,463,0,615.648,1.42983,1.08788,1.46101,-1.76726,2.15437,-0.455202,-1.01045,0.171492,0.385985,0.951778,0.0232744,51,41,272.127
-610.47,0.998864,0.00680828,8,463,0,615.307,1.71044,1.60953,-0.726971,-1.88207,2.58165,-0.908837,0.0564637,0.185522,0.451192,0.350083,0.0117932,51,41,565.528
-610.085,0.182072,0.0253621,3,11,1,613.798,1.72092,1.5737,-0.754747,-1.88935,2.54808,-0.901131,0.0948884,0.186046,0.446712,0.342445,0.0110646,51,41,576.094
-610.166,0.999688,0.00232444,9,975,0,614.685,1.28636,1.43527,-0.264314,-1.95346,0.994284,-0.73698,2.99805,0.164318,0.429409,0.477314,0.00465377,51,41,1374.46
