# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrMichMent_model
# start_datetime = 2025-04-04 14:51:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrMichMent_1.data.R
# init = 2 (Default)
# random
#   seed = 141761547 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrMichMent_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kf,kr,kpl,T1_P,T1_X,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,inits.1
-1.02668e+06,0,0.023435,0,1,1,1.02668e+06,-0.157582,-1.32291,-1.48181,0.701153,0.43792,0.607328,1.37523,0.460604,0.169272,0.129547,0.675288,51,41,928.19
-1.02668e+06,0,2.69063,0,1,1,1.02668e+06,-0.157582,-1.32291,-1.48181,0.701153,0.43792,0.607328,1.37523,0.460604,0.169272,0.129547,0.675288,51,41,928.19
-1.02668e+06,0,0.104724,0,1,1,1.02668e+06,-0.157582,-1.32291,-1.48181,0.701153,0.43792,0.607328,1.37523,0.460604,0.169272,0.129547,0.675288,51,41,928.19
-1.00427e+06,1,0.0128164,1,1,0,1.02074e+06,-0.206646,-1.31372,-1.48696,1.51275,0.446094,0.586727,3.08794,0.448339,0.171571,0.128261,0.878188,51,41,1399.18
-1.00127e+06,1,0.013555,1,1,0,1.0038e+06,0.273442,-1.292,-1.48947,1.60645,0.457031,0.56955,3.19745,0.568361,0.177,0.127633,0.901612,51,41,1429.3
-996863,1,0.00746908,3,7,0,1.0012e+06,1.19974,-1.22506,-1.48688,1.82969,0.495349,0.48874,3.51398,0.799936,0.193735,0.128281,0.957423,51,41,1516.34
-996706,1,0.0118937,1,1,0,996859,1.23631,-1.21966,-1.49003,1.83998,0.504623,0.488019,3.52831,0.809078,0.195084,0.127493,0.959995,51,41,1520.28
-996175,1,0.0231752,1,1,0,996654,1.34784,-1.17057,-1.4967,1.8751,0.507874,0.496787,3.58304,0.836959,0.207358,0.125824,0.968776,51,41,1535.33
-995203,1,0.0428742,1,1,0,995973,1.61615,-1.01974,-1.49145,1.93061,0.476995,0.461878,3.69311,0.904037,0.245064,0.127138,0.982653,51,41,1565.6
-994411,1,0.0818066,1,1,0,994985,1.85444,-0.658422,-1.44925,1.98028,0.469347,0.540656,3.78207,0.963609,0.335395,0.137688,0.99507,51,41,1590.07
