# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrMichMent_model
# start_datetime = 2025-04-04 14:51:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 3
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrMichMent_3.data.R
# init = 2 (Default)
# random
#   seed = 141761547 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrMichMent_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kf,kr,kpl,T1_P,T1_X,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,inits.1
-529297,0,0.00282674,0,1,1,529299,0.952194,1.43994,-1.37733,0.699307,-1.37995,-0.446541,-1.19544,0.738048,0.859985,0.155666,0.674827,51,41,221.253
-529297,0,1.97579,0,1,1,529300,0.952194,1.43994,-1.37733,0.699307,-1.37995,-0.446541,-1.19544,0.738048,0.859985,0.155666,0.674827,51,41,221.253
-529297,0,0.23601,0,1,1,529299,0.952194,1.43994,-1.37733,0.699307,-1.37995,-0.446541,-1.19544,0.738048,0.859985,0.155666,0.674827,51,41,221.253
-529297,0,0.0128095,0,1,1,529302,0.952194,1.43994,-1.37733,0.699307,-1.37995,-0.446541,-1.19544,0.738048,0.859985,0.155666,0.674827,51,41,221.253
-205746,1,0.000677553,2,3,0,510199,0.953072,1.44007,-1.3775,0.49322,-1.38113,-0.444539,-1.52693,0.738268,0.860017,0.155625,0.623305,51,41,130.094
-170344,1,0.000873672,1,1,0,203251,0.95351,1.43971,-1.37748,0.449988,-1.38038,-0.44493,-1.57305,0.738378,0.859929,0.15563,0.612497,51,41,117.412
-158719,1,0.000571792,1,1,0,170001,0.952846,1.43979,-1.37747,0.433454,-1.38074,-0.446266,-1.58875,0.738212,0.859947,0.155632,0.608364,51,41,113.094
-125042,1,0.000533823,2,3,0,158004,0.950991,1.44017,-1.37733,0.380031,-1.38051,-0.446774,-1.63655,0.737748,0.860043,0.155668,0.595008,51,41,99.9493
-41302.6,1,0.00122212,2,3,0,120184,0.950721,1.44005,-1.37742,0.156333,-1.39116,-0.447674,-1.77729,0.73768,0.860012,0.155644,0.539083,51,41,61.246
-25220.5,1,0.00194547,1,1,0,38791.1,0.948128,1.44043,-1.37628,0.0745089,-1.39246,-0.449753,-1.81135,0.737032,0.860108,0.15593,0.518627,51,41,51.8793
-7333.92,1,0.00346647,3,7,0,20228.4,0.949906,1.44145,-1.37856,-0.111178,-1.39834,-0.449807,-1.86807,0.737476,0.860363,0.155361,0.472205,51,41,36.28
-771.604,1,0.00744953,1,1,0,5269.54,0.950919,1.43958,-1.38183,-0.416275,-1.39732,-0.448198,-1.92518,0.73773,0.859894,0.154542,0.395931,51,41,20.5746
-619.589,1,0.0133103,2,3,0,710.496,0.935341,1.433,-1.37862,-0.494609,-1.38832,-0.444121,-1.93387,0.733835,0.85825,0.155346,0.376348,51,41,18.1861
-614.273,0.9997,0.0146203,9,511,0,618.765,-0.29295,1.39261,-1.71563,-0.0400244,-1.75651,0.158315,-1.95231,0.426763,0.848152,0.0710921,0.489994,51,41,13.1142
-614.661,0.380452,0.0222721,5,63,0,618.229,0.399778,1.72696,-1.72009,-0.341179,-1.00758,0.953818,-1.94228,0.599944,0.93174,0.0699768,0.414705,51,41,15.8722
-614.476,0.984112,0.00921763,9,727,0,617.918,1.40974,1.29707,-1.87503,-1.36173,-2.69518,-1.20292,-1.85148,0.852435,0.824268,0.0312427,0.159568,51,41,40.8426
-613.954,0.902813,0.0149214,7,215,0,617.572,0.216367,1.38231,-1.88164,-1.44099,-2.9516,-1.64337,-1.82929,0.554092,0.845579,0.0295902,0.139752,51,41,46.9446
-613.239,0.998739,0.0128627,8,255,0,614.45,0.0637157,1.08802,-1.81685,-1.42407,-2.66553,-2.08555,-1.83422,0.515929,0.772006,0.0457872,0.143981,51,41,45.5902
-611.024,0.896815,0.0130269,9,671,0,616.38,0.36896,0.728259,-1.2963,-1.90477,1.54337,1.18124,-1.02021,0.59224,0.682065,0.175924,0.023808,51,41,269.443
-611.024,6.27721e-05,0.0337043,1,3,1,613.371,0.36896,0.728259,-1.2963,-1.90477,1.54337,1.18124,-1.02021,0.59224,0.682065,0.175924,0.023808,51,41,269.443
-610.773,0.999908,0.00211712,10,1023,0,613.285,1.2174,0.52225,0.249025,-1.90817,0.978729,1.54697,-0.981317,0.80435,0.630563,0.562256,0.0229577,51,41,280.138
-610.056,0.999268,0.00469346,10,1023,0,612.654,1.24303,0.149936,0.240193,-1.93353,0.362648,1.75447,-0.565385,0.810758,0.537484,0.560048,0.0166171,51,41,394.519
-612.616,0.969725,0.00552491,10,1023,0,615.643,0.112815,0.1612,0.76949,-0.875377,2.54057,-0.465663,-1.91396,0.528204,0.5403,0.692373,0.281156,51,41,23.6605
-613.529,0.995209,0.00791586,9,959,0,615.914,-0.133422,1.58481,-0.840274,-1.47427,-1.89341,2.35716,-1.81551,0.466645,0.896203,0.289932,0.131432,51,41,50.7358
-612.56,0.981824,0.013847,9,511,0,614.386,-0.663656,-1.61022,0.264827,-1.16713,0.536176,-0.660445,-1.88769,0.334086,0.0974447,0.566207,0.208216,51,41,30.8861
-613.207,0.996492,0.0136701,9,527,0,616.486,0.484983,1.67887,1.36491,-1.63417,3.7533,0.875186,-1.7442,0.621246,0.919717,0.841228,0.0914583,51,41,70.3454
-613.147,0.5,0.0467686,1,2,1,621.699,0.511866,1.66417,1.37371,-1.65156,3.70599,1.00802,-1.73138,0.627966,0.916042,0.843426,0.0871089,51,41,73.8718
-611.953,0.999918,0.0117397,9,511,0,613.728,-0.287168,-1.62424,-1.25912,-1.65902,1.66314,2.68444,-1.72116,0.428208,0.0939392,0.185219,0.0852455,51,41,76.6819
-613.179,0.0395363,0.0224167,2,7,0,617.664,-0.299233,-1.6335,-1.27357,-1.66088,1.68092,2.6362,-1.72653,0.425192,0.0916259,0.181608,0.0847811,51,41,75.2046
-611.446,0.999834,0.00183915,10,1023,0,614.055,-0.020901,-1.18001,-1.15235,-1.67351,1.59512,2.29067,-1.71125,0.494775,0.204997,0.211913,0.0816234,51,41,79.4074
-611.338,0.99344,0.00463329,10,1023,0,613.105,0.959973,-0.792077,-0.378652,-1.78368,0.807509,1.50752,-1.56722,0.739993,0.301981,0.405337,0.0540788,51,41,119.014
-608.797,0.985735,0.00662294,10,1023,0,613.815,-0.908439,0.664642,0.658016,-1.95952,-2.93457,-0.486583,0.361593,0.27289,0.666161,0.664504,0.0101199,51,41,649.438
-609.903,0.981944,0.00684721,8,439,0,612.978,-0.856398,1.32704,-0.610662,-1.95515,-3.43783,-1.29172,0.0762587,0.285901,0.831759,0.347335,0.0112129,51,41,570.971
-610.841,0.962417,0.00902614,8,375,0,612.082,-1.27784,1.73843,-0.179345,-1.94749,-2.25398,-0.875049,-0.235476,0.18054,0.934608,0.455164,0.0131279,51,41,485.244
-608.781,0.955121,0.0107069,7,179,0,613.366,-1.72654,1.74125,-0.267049,-1.92869,-0.753257,-0.882876,-0.686015,0.0683648,0.935311,0.433238,0.0178269,51,41,361.346
-604.887,0.846579,0.0165665,6,127,0,611.896,-1.73333,1.69,-0.16815,-1.96063,-0.980649,-1.69512,0.395556,0.0666684,0.9225,0.457962,0.00984219,51,41,658.778
-585.339,0.97152,0.0160376,6,75,0,607.772,-1.93871,1.77675,0.158625,-1.95301,-0.921823,-1.6148,0.00840137,0.0153224,0.944188,0.539656,0.0117469,51,41,552.31
-585.339,0.0308832,0.0559388,1,3,1,589.322,-1.93871,1.77675,0.158625,-1.95301,-0.921823,-1.6148,0.00840137,0.0153224,0.944188,0.539656,0.0117469,51,41,552.31
-567.976,0.994937,0.00299924,7,127,0,591.148,-1.95396,1.80367,0.654221,-1.96189,-0.830769,-1.58284,0.459186,0.0115098,0.950917,0.663555,0.00952692,51,41,676.276
-551.119,0.971613,0.00641958,5,47,0,573.091,-1.96632,1.76878,0.592053,-1.96419,-0.953554,-1.65837,0.557834,0.00842066,0.942195,0.648013,0.00895244,51,41,703.404
-550.214,0.994726,0.0173951,4,31,0,553.289,-1.98012,1.80759,0.549834,-1.9667,-1.07714,-1.43408,0.696281,0.00497025,0.951896,0.637458,0.0083262,51,41,741.477
-537.929,0.570283,0.0255832,3,7,0,552.381,-1.97618,1.8134,0.552721,-1.96446,-1.0561,-1.32771,0.576573,0.00595584,0.95335,0.63818,0.00888486,51,41,708.558
-535.818,0.982595,0.00873094,10,1023,0,539.492,-1.98791,-1.93671,0.394594,-1.77819,-3.06039,-7.00932,-1.57031,0.00302136,0.0158228,0.598649,0.0554517,51,41,118.165
-539.471,0.998606,0.010253,8,383,0,540.338,-1.92742,-1.99482,0.436097,-1.97075,-3.07543,-4.78478,1.55602,0.0181443,0.0012958,0.609024,0.00731177,51,41,977.907
-536.823,0.224226,0.0249625,8,347,0,541.575,-1.95361,-1.97416,0.998632,-1.97159,2.9475,-2.13009,1.34858,0.0115974,0.00645931,0.749658,0.00710221,51,41,920.86
-536.513,0.995268,0.00318752,10,1023,0,541.468,-1.94828,-1.99619,-0.724096,-1.85782,-0.615106,-4.93799,-1.29085,0.0129302,0.000952649,0.318976,0.0355455,51,41,195.016
-536.645,0.984343,0.00541664,10,1023,0,539.115,-1.9738,-1.75855,1.72035,-1.95926,2.10667,-5.90465,0.273239,0.00654932,0.0603631,0.930088,0.0101839,51,41,625.141
-535.425,0.995686,0.00953032,10,1023,0,538.988,-1.9786,-1.97247,0.0674591,-1.90199,-6.2518,0.787494,-1.04079,0.00534906,0.00688246,0.516865,0.0245035,51,41,263.784
-536.859,0.979647,0.0169808,8,255,0,537.338,-1.96417,-1.90013,0.871019,-1.96701,-5.37941,0.995236,0.830488,0.00895845,0.0249668,0.717755,0.00824809,51,41,778.384
-536.307,0.0960857,0.0240688,7,193,0,539.854,-1.97389,-1.95735,0.093034,-1.95613,-8.20676,-1.85728,0.117019,0.00652712,0.0106615,0.523259,0.0109681,51,41,582.18
-537.565,0.968039,0.00432142,9,959,0,540.05,-1.98229,-1.87063,1.17482,-1.94039,-8.55589,-2.37624,-0.430181,0.00442634,0.0323437,0.793706,0.0149031,51,41,431.7
-537.448,0.999992,0.00696281,10,1023,0,541.34,-1.94195,-1.9925,0.808045,-1.95441,-5.29364,8.20385,0.266685,0.0145122,0.00187466,0.702011,0.0113973,51,41,623.339
-536.746,0.991388,0.0078469,9,703,0,539.514,-1.9702,-1.97741,0.0932667,-1.94816,-5.6466,6.5807,-0.223099,0.0074508,0.00564775,0.523317,0.0129598,51,41,488.648
-536.195,0.97047,0.0165398,10,1023,0,541.587,-1.98825,-0.810825,0.220699,-1.91518,-37.2111,-4.50113,-0.919567,0.00293806,0.297294,0.555175,0.0212052,51,41,297.119
-536.473,0.476026,0.0206477,9,575,0,539.811,-1.93533,-1.99371,0.990241,-1.89204,-43.0918,2.0193,-1.02487,0.0161682,0.00157151,0.74756,0.0269911,51,41,268.16
-535.712,0.99918,0.00960016,10,1023,0,538.924,-1.98497,-1.79566,0.699345,-1.9173,-33.16,1.47094,-0.890374,0.00375693,0.0510845,0.674836,0.020674,51,41,305.147
