# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrNoTransport_model
# start_datetime = 2024-06-03 17:03:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrNoTransport_1.data.R
# init = 2 (Default)
# random
#   seed = 3862419333 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrNoTransport_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,k_f1,k_r1,T1_P,T1_X,theta.1,theta.2,theta.3,theta.4
-10913.8,0.5,0.00878549,1,2,1,87111.5,-1.7729,-0.303084,-1.61118,-1.8978,0.000111228,9.46159e-05,41.9441,35.0731
-10913.8,0,6.03397,0,1,1,10914.8,-1.7729,-0.303084,-1.61118,-1.8978,0.000111228,9.46159e-05,41.9441,35.0731
-10913.8,0,0.600706,0,1,1,10915.4,-1.7729,-0.303084,-1.61118,-1.8978,0.000111228,9.46159e-05,41.9441,35.0731
-10913.8,0,0.0472021,0,1,1,10915.2,-1.7729,-0.303084,-1.61118,-1.8978,0.000111228,9.46159e-05,41.9441,35.0731
-9249.75,1,0.00337599,1,1,0,10683.9,-1.67244,-0.305503,-1.60797,-1.89809,0.000152998,9.4481e-05,41.9601,35.07
-8279.12,1,0.00354165,1,1,0,9116.15,-1.59211,-0.315416,-1.60653,-1.89895,0.000186401,9.39285e-05,41.9673,35.061
-7396.89,1,0.00474699,2,3,0,8061.54,-1.47563,-0.324959,-1.6026,-1.8993,0.000234832,9.33965e-05,41.987,35.0574
-7098.42,1,0.00446338,3,7,0,7346.07,-1.32879,-0.335345,-1.58664,-1.89862,0.000295889,9.28175e-05,42.0668,35.0645
-7033.89,0.758525,0.0059596,2,3,0,7095.61,-1.36424,-0.347494,-1.57594,-1.89703,0.000281149,9.21403e-05,42.1203,35.0812
-7017.76,0.55448,0.00509023,2,3,0,7035.99,-1.37259,-0.346977,-1.57053,-1.8971,0.000277677,9.21691e-05,42.1473,35.0805
