# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrNoTransport_model
# start_datetime = 2024-06-03 17:03:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 3
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrNoTransport_3.data.R
# init = 2 (Default)
# random
#   seed = 3862419333 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrNoTransport_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,k_f1,k_r1,T1_P,T1_X,theta.1,theta.2,theta.3,theta.4
-3719.63,1,0.00357645,1,1,0,21225.3,-1.73235,0.113843,0.782021,0.484657,0.00012809,0.000117857,53.9101,60.0889
-3719.63,0,18.8362,0,1,1,3720.05,-1.73235,0.113843,0.782021,0.484657,0.00012809,0.000117857,53.9101,60.0889
-3719.63,0,2.56884,0,1,1,3721.43,-1.73235,0.113843,0.782021,0.484657,0.00012809,0.000117857,53.9101,60.0889
-3719.63,0,0.233222,0,1,1,3722.44,-1.73235,0.113843,0.782021,0.484657,0.00012809,0.000117857,53.9101,60.0889
-3719.63,0,0.0115944,0,1,1,3721.75,-1.73235,0.113843,0.782021,0.484657,0.00012809,0.000117857,53.9101,60.0889
-3492.85,1,0.000910463,2,3,0,3712.19,-1.71217,0.111566,0.776801,0.484123,0.000136479,0.00011773,53.884,60.0833
-3480.5,1,0.000570986,2,3,0,3493.26,-1.71069,0.111147,0.776806,0.484432,0.000137095,0.000117707,53.884,60.0865
-3420.33,1,0.000621589,2,3,0,3481.07,-1.70262,0.110905,0.776335,0.484459,0.000140451,0.000117693,53.8817,60.0868
-3357.77,1,0.000923919,2,3,0,3418.79,-1.69319,0.111926,0.772274,0.483489,0.000144372,0.00011775,53.8614,60.0766
-3277.77,1,0.00198809,2,3,0,3350.57,-1.66434,0.114442,0.758863,0.488611,0.000156366,0.000117891,53.7943,60.1304
-3122.25,1,0.00388524,2,3,0,3273.81,-1.66924,0.115986,0.702174,0.469758,0.000154328,0.000117977,53.5109,59.9325
-3092.74,0.399644,0.00419978,1,1,0,3124.79,-1.66457,0.114525,0.690291,0.463562,0.000156272,0.000117895,53.4515,59.8674
-3043.03,0.979654,0.00166565,2,3,0,3093.42,-1.66845,0.111008,0.669926,0.460862,0.000154658,0.000117699,53.3496,59.8391
-3028.78,1,0.00302471,1,1,0,3043.35,-1.66718,0.110722,0.66374,0.460755,0.000155188,0.000117683,53.3187,59.8379
-2769.66,0.993094,0.00314911,3,7,0,3033.01,-1.66428,0.144969,0.536857,0.454015,0.000156392,0.000119592,52.6843,59.7672
-2769.66,0.0123104,0.00583864,1,1,0,2773.95,-1.66428,0.144969,0.536857,0.454015,0.000156392,0.000119592,52.6843,59.7672
-2765.47,0.99984,0.000497439,3,7,0,2770.59,-1.6634,0.143838,0.53473,0.452456,0.000156758,0.000119529,52.6737,59.7508
-2760.68,1,0.00105601,2,3,0,2765.93,-1.66507,0.144441,0.53219,0.451267,0.000156065,0.000119563,52.6609,59.7383
-2723.74,1,0.00193944,2,3,0,2762.62,-1.66344,0.153487,0.510775,0.452077,0.000156741,0.000120067,52.5539,59.7468
-2661.05,0.995524,0.00285646,2,3,0,2727.56,-1.6631,0.147679,0.472487,0.451589,0.000156883,0.000119743,52.3624,59.7417
-2438.74,1,0.0033888,3,7,0,2663.86,-1.65958,0.128699,0.294519,0.465295,0.000158347,0.000118685,51.4726,59.8856
-2438.74,7.55453e-06,0.00972675,1,2,1,2439.74,-1.65958,0.128699,0.294519,0.465295,0.000158347,0.000118685,51.4726,59.8856
-2433.24,0.999981,0.000382015,4,15,0,2439.12,-1.66031,0.126886,0.288765,0.465726,0.000158042,0.000118584,51.4438,59.8901
-2427.99,0.999871,0.00127438,3,7,0,2433.44,-1.659,0.125461,0.283551,0.463998,0.000158589,0.000118505,51.4178,59.872
-2425.43,0.993687,0.000860481,4,15,0,2431.27,-1.66169,0.132211,0.280976,0.459415,0.00015747,0.000118881,51.4049,59.8239
-2318.04,0.945596,0.00346974,3,7,0,2428.68,-1.65736,0.0977697,0.127952,0.453672,0.000159268,0.000116961,50.6398,59.7636
-2287.3,0.093989,0.00435296,3,7,0,2324.46,-1.64478,0.116758,0.0402312,0.4127,0.000164502,0.00011802,50.2012,59.3334
-2284.21,0.998729,0.000587377,4,31,0,2288.16,-1.64939,0.116818,0.0350414,0.414032,0.000162583,0.000118023,50.1752,59.3473
-2274.47,0.995186,0.00107408,6,63,0,2288.77,-1.64129,0.100119,-0.0460484,0.314957,0.000165953,0.000117092,49.7698,58.307
-2271.96,0.994884,0.00142488,7,127,0,2275.64,-1.63116,0.0547727,-0.0124453,0.181044,0.000170163,0.000114564,49.9378,56.901
