# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrTransport_model
# start_datetime = 2024-06-04 13:08:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrTransport_1.data.R
# init = 2 (Default)
# random
#   seed = 3934747241 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrTransport_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,k_f1,k_r1,T1_P,T1_X,kin,theta.1,theta.2,theta.3,theta.4,theta.5
-3313.44,1,0.00364726,2,3,0,5665.35,-1.34817,-1.28201,0.215273,0.258462,-1.54585,0.017131,0.0148097,52.3122,43.8856,0.000599276
-3313.44,0,17.9076,0,1,1,3314.83,-1.34817,-1.28201,0.215273,0.258462,-1.54585,0.017131,0.0148097,52.3122,43.8856,0.000599276
-3313.44,0,1.24501,0,1,1,3314.73,-1.34817,-1.28201,0.215273,0.258462,-1.54585,0.017131,0.0148097,52.3122,43.8856,0.000599276
-3313.44,0,0.20747,0,1,1,3315.43,-1.34817,-1.28201,0.215273,0.258462,-1.54585,0.017131,0.0148097,52.3122,43.8856,0.000599276
-3313.44,0,0.0106731,0,1,1,3321.42,-1.34817,-1.28201,0.215273,0.258462,-1.54585,0.017131,0.0148097,52.3122,43.8856,0.000599276
-2687.64,1,0.000900107,2,3,0,3291.73,-1.36085,-1.27387,0.212264,0.254947,-1.574,0.0168172,0.0149687,52.2968,43.8563,0.000565171
-2000.12,1,0.000603793,3,15,0,2679.33,-1.38015,-1.25498,0.208803,0.252562,-1.63611,0.0163397,0.0153375,52.2791,43.8364,0.000489904
-1972.19,1,0.000603782,3,7,0,2003.3,-1.38497,-1.2531,0.207534,0.257416,-1.64373,0.0162204,0.0153742,52.2726,43.8769,0.00048068
-1888.54,0.999412,0.000950493,6,63,0,1973.83,-1.37375,-1.28746,0.0831224,0.231963,-1.67055,0.016498,0.0147032,51.6356,43.6646,0.000448169
-1825.43,0.997284,0.00172099,6,63,0,1891.03,-1.5852,-1.73368,-0.149268,0.38034,-1.70744,0.0112653,0.0059897,50.4457,44.902,0.000403476
