# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrTransport_model
# start_datetime = 2024-06-04 13:08:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 3
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrTransport_3.data.R
# init = 2 (Default)
# random
#   seed = 3934747241 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrTransport_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,k_f1,k_r1,T1_P,T1_X,kin,theta.1,theta.2,theta.3,theta.4,theta.5
-7007.89,1,0.00409434,1,1,0,218905,-1.72198,0.695131,-1.16745,-1.25145,0.845469,0.00788031,0.0534188,45.2326,31.2929,0.00349699
-7007.89,0,13.887,0,1,1,7009.92,-1.72198,0.695131,-1.16745,-1.25145,0.845469,0.00788031,0.0534188,45.2326,31.2929,0.00349699
-7007.89,0,1.06303,0,1,1,7009.26,-1.72198,0.695131,-1.16745,-1.25145,0.845469,0.00788031,0.0534188,45.2326,31.2929,0.00349699
-7007.89,0,0.0852301,0,1,1,7012.37,-1.72198,0.695131,-1.16745,-1.25145,0.845469,0.00788031,0.0534188,45.2326,31.2929,0.00349699
-7007.89,0,0.0125647,0,1,1,7016.54,-1.72198,0.695131,-1.16745,-1.25145,0.845469,0.00788031,0.0534188,45.2326,31.2929,0.00349699
-6948.88,1,0.000561949,3,7,0,7008.82,-1.72814,0.694525,-1.16694,-1.25028,0.843815,0.00772774,0.053407,45.2353,31.3027,0.00349498
-6922.03,1,0.000466416,3,7,0,6953.12,-1.7317,0.692697,-1.16728,-1.25108,0.84359,0.00763958,0.0533713,45.2335,31.296,0.00349471
-6772.89,1,0.0014184,2,3,0,6909.34,-1.75722,0.695223,-1.16363,-1.25052,0.83867,0.00700799,0.0534206,45.2522,31.3007,0.00348875
-6739.99,1,0.00125211,2,3,0,6774.82,-1.76201,0.696718,-1.15683,-1.24973,0.835405,0.00688959,0.0534498,45.287,31.3072,0.00348479
-6585.04,0.85837,0.00287756,2,3,0,6740.22,-1.77129,0.671654,-1.11635,-1.24165,0.811867,0.00665999,0.0529604,45.4943,31.3747,0.00345627
