x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
48.0,55.0,0.00583594,0.0186543,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.01591,0.0020306,15.0,450.0,12599.0,226.0
48.0,55.0,0.00568744,0.0187793,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.99034,0.00159348,15.0,450.0,12599.0,226.0
48.0,55.0,0.00559069,0.0191376,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.954496,0.00128905,15.0,450.0,12599.0,226.0
48.0,55.0,0.00578825,0.0190064,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.999511,0.00176983,15.0,450.0,12599.0,226.0
48.0,55.0,0.00585145,0.019049,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.00052,0.00165804,15.0,450.0,12599.0,226.0
48.0,55.0,0.00577494,0.0189389,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.03431,0.0019445,15.0,450.0,12599.0,226.0
48.0,55.0,0.00576949,0.0187094,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.995116,0.00178564,15.0,450.0,12599.0,226.0
48.0,55.0,0.0058577,0.0188408,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.995152,0.00188295,15.0,450.0,12599.0,226.0
48.0,55.0,0.00577223,0.0184132,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.971447,0.00176372,15.0,450.0,12599.0,226.0
48.0,55.0,0.00578177,0.0184011,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.971388,0.00177373,15.0,450.0,12599.0,226.0
48.0,55.0,0.00580073,0.0185196,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.963682,0.00159874,15.0,450.0,12599.0,226.0
48.0,55.0,0.00587128,0.0186559,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.986641,0.00174776,15.0,450.0,12599.0,226.0
48.0,55.0,0.00583557,0.0182271,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.984824,0.00190121,15.0,450.0,12599.0,226.0
48.0,55.0,0.00589135,0.0191552,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.03938,0.00205647,15.0,450.0,12599.0,226.0
48.0,55.0,0.00563904,0.0185093,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.956004,0.0015197,15.0,450.0,12599.0,226.0
48.0,55.0,0.00574023,0.0187039,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.992006,0.00170115,15.0,450.0,12599.0,226.0
48.0,55.0,0.00572381,0.0187261,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.986253,0.00170746,15.0,450.0,12599.0,226.0
48.0,55.0,0.00571332,0.0187207,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.994349,0.0016243,15.0,450.0,12599.0,226.0
48.0,55.0,0.00572579,0.0189801,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.99478,0.00168691,15.0,450.0,12599.0,226.0
48.0,55.0,0.005752,0.0189192,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.992963,0.00170805,15.0,450.0,12599.0,226.0
48.0,55.0,0.00586659,0.0190325,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.04292,0.00203597,15.0,450.0,12599.0,226.0
48.0,55.0,0.00591759,0.0186653,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.00913,0.00196538,15.0,450.0,12599.0,226.0
48.0,55.0,0.00555297,0.0189988,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.982407,0.00144037,15.0,450.0,12599.0,226.0
48.0,55.0,0.00561071,0.0190603,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.977197,0.00148074,15.0,450.0,12599.0,226.0
48.0,55.0,0.0055982,0.0189152,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.995345,0.00159578,15.0,450.0,12599.0,226.0
48.0,55.0,0.00592146,0.0183378,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.996577,0.00199417,15.0,450.0,12599.0,226.0
48.0,55.0,0.00591412,0.0183054,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.994268,0.00201043,15.0,450.0,12599.0,226.0
