x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
48.0,55.0,0.00583284,0.0183142,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.949315,0.00164924,15.0,450.0,12599.0,226.0
48.0,55.0,0.00583124,0.0183494,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.941775,0.00167422,15.0,450.0,12599.0,226.0
48.0,55.0,0.00580431,0.0180293,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.965014,0.00186834,15.0,450.0,12599.0,226.0
48.0,55.0,0.00580456,0.0181348,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.956945,0.00182418,15.0,450.0,12599.0,226.0
48.0,55.0,0.00589361,0.0181398,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.961459,0.00186513,15.0,450.0,12599.0,226.0
48.0,55.0,0.00587259,0.0180413,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.95454,0.00183015,15.0,450.0,12599.0,226.0
48.0,55.0,0.00581101,0.0180438,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.964142,0.00179344,15.0,450.0,12599.0,226.0
48.0,55.0,0.0058024,0.0181702,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.960908,0.00181788,15.0,450.0,12599.0,226.0
48.0,55.0,0.00575891,0.0179988,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.949731,0.00170137,15.0,450.0,12599.0,226.0
48.0,55.0,0.00576012,0.0180192,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.953188,0.00172187,15.0,450.0,12599.0,226.0
48.0,55.0,0.00579314,0.0180547,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.947787,0.00170491,15.0,450.0,12599.0,226.0
48.0,55.0,0.00585781,0.0179983,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.951655,0.00177536,15.0,450.0,12599.0,226.0
48.0,55.0,0.00581816,0.0181741,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.965476,0.00187521,15.0,450.0,12599.0,226.0
48.0,55.0,0.0059979,0.0178981,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.941475,0.00188774,15.0,450.0,12599.0,226.0
48.0,55.0,0.00582952,0.0178208,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.939899,0.00174826,15.0,450.0,12599.0,226.0
48.0,55.0,0.00591842,0.0179521,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.958418,0.00183676,15.0,450.0,12599.0,226.0
48.0,55.0,0.00590914,0.0177459,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.93982,0.00179194,15.0,450.0,12599.0,226.0
48.0,55.0,0.00578946,0.0179597,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.935585,0.00161093,15.0,450.0,12599.0,226.0
48.0,55.0,0.00578929,0.0181265,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.966187,0.00174638,15.0,450.0,12599.0,226.0
48.0,55.0,0.00595966,0.0180609,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.957697,0.00190512,15.0,450.0,12599.0,226.0
48.0,55.0,0.00575129,0.0182583,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.967447,0.00176753,15.0,450.0,12599.0,226.0
48.0,55.0,0.00599019,0.0180325,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.969634,0.00194721,15.0,450.0,12599.0,226.0
48.0,55.0,0.00590479,0.0180821,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.964241,0.00185763,15.0,450.0,12599.0,226.0
48.0,55.0,0.00591957,0.0180951,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.959625,0.00190486,15.0,450.0,12599.0,226.0
48.0,55.0,0.00589257,0.0181884,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.981954,0.00193407,15.0,450.0,12599.0,226.0
48.0,55.0,0.00580324,0.0184529,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.974329,0.00177353,15.0,450.0,12599.0,226.0
48.0,55.0,0.00582385,0.0184078,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.977622,0.0017976,15.0,450.0,12599.0,226.0
48.0,55.0,0.00578235,0.0182913,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.980494,0.00185613,15.0,450.0,12599.0,226.0
48.0,55.0,0.0058991,0.0180593,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.961057,0.00188839,15.0,450.0,12599.0,226.0
48.0,55.0,0.00591613,0.0181993,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.975122,0.0018859,15.0,450.0,12599.0,226.0
48.0,55.0,0.00591589,0.0184073,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.980541,0.00195424,15.0,450.0,12599.0,226.0
48.0,55.0,0.00594249,0.018373,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.985604,0.0019161,15.0,450.0,12599.0,226.0
48.0,55.0,0.00583042,0.0177537,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.935119,0.00176396,15.0,450.0,12599.0,226.0
48.0,55.0,0.00581083,0.0177383,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.943068,0.00177734,15.0,450.0,12599.0,226.0
48.0,55.0,0.00574552,0.0183052,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.981648,0.001836,15.0,450.0,12599.0,226.0
48.0,55.0,0.00583802,0.0183857,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.977765,0.00187966,15.0,450.0,12599.0,226.0
48.0,55.0,0.00595817,0.0178879,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.971875,0.0020066,15.0,450.0,12599.0,226.0
48.0,55.0,0.00594735,0.017901,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.955994,0.00193742,15.0,450.0,12599.0,226.0
48.0,55.0,0.00575637,0.0183049,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.969996,0.00175545,15.0,450.0,12599.0,226.0
48.0,55.0,0.00578943,0.0184751,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.962402,0.00170121,15.0,450.0,12599.0,226.0
48.0,55.0,0.00586117,0.0182012,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.985631,0.00192136,15.0,450.0,12599.0,226.0
48.0,55.0,0.00585756,0.0181521,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.970231,0.00186412,15.0,450.0,12599.0,226.0
48.0,55.0,0.00587127,0.0178374,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.92734,0.00168009,15.0,450.0,12599.0,226.0
48.0,55.0,0.00582787,0.0178322,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.949552,0.00179882,15.0,450.0,12599.0,226.0
48.0,55.0,0.00584404,0.0178235,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.921021,0.00166207,15.0,450.0,12599.0,226.0
48.0,55.0,0.00572721,0.0183904,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.96949,0.00173956,15.0,450.0,12599.0,226.0
48.0,55.0,0.00591111,0.0177601,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.95694,0.00186446,15.0,450.0,12599.0,226.0
48.0,55.0,0.00580042,0.0185239,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.97807,0.00180986,15.0,450.0,12599.0,226.0
48.0,55.0,0.00587743,0.0179535,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.961233,0.00183748,15.0,450.0,12599.0,226.0
48.0,55.0,0.00595458,0.0179308,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.971752,0.00195576,15.0,450.0,12599.0,226.0
