x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
48.0,55.0,0.00452166,0.0186251,0.033677,0.353106,0.958872,0.527024,1.46347,0.00489217,1.83455,0.0013667,15.0,1022.23,18998.0,123.955
48.0,55.0,0.00513441,0.018263,0.0705485,0.212512,0.693919,1.24376,1.92187,0.0109393,1.24553,0.00197532,15.0,458.805,14683.7,147.888
48.0,55.0,0.00498515,0.0178563,0.0499511,0.265204,1.10608,0.915893,1.63991,0.0153331,1.08132,0.000616205,15.0,468.766,4957.38,131.656
48.0,55.0,0.00436716,0.0182264,0.0389843,0.256637,1.64613,0.821695,1.82683,0.00474749,1.55647,0.00037579,15.0,651.876,15562.3,120.698
48.0,55.0,0.00490222,0.0181433,0.0452291,0.279405,1.3012,0.969574,1.81546,0.00531865,1.38987,0.000921492,15.0,835.642,22017.3,118.452
48.0,55.0,0.00530362,0.0179928,0.0492131,0.332072,1.21299,1.73786,0.957012,0.00523506,0.78338,0.000940424,15.0,387.924,18687.4,193.502
48.0,55.0,0.00681168,0.0184294,0.017104,0.500917,0.716614,0.495597,0.671645,0.00756518,1.77011,0.00200048,15.0,685.236,9848.4,329.707
48.0,55.0,0.00833938,0.0184524,0.0614785,0.512484,1.75023,1.08033,0.665409,0.0113266,1.0178,0.00293254,15.0,172.805,13278.3,562.053
48.0,55.0,0.00563341,0.0186872,0.0585638,0.588271,0.652505,0.502079,1.01912,0.00660352,0.571536,0.00100307,15.0,227.186,17895.4,276.682
48.0,55.0,0.00709873,0.0183995,0.0660145,0.436102,1.31595,1.33344,0.811949,0.00642926,0.887437,0.00231264,15.0,201.866,24907.5,418.931
48.0,55.0,0.00539347,0.0183999,0.0580282,0.470056,1.92271,1.28439,1.00145,0.00462282,0.845932,0.00220029,15.0,218.238,19554.0,265.226
48.0,55.0,0.00571298,0.018198,0.0394378,0.430221,1.3302,1.20462,1.01669,0.00428987,1.13722,0.00272141,15.0,378.796,21608.9,239.063
