x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
48.0,55.0,0.00632633,0.0183237,0.0157928,0.30165,1.35324,1.43997,1.16105,0.00484035,1.07643,0.00323272,15.0,594.23,12592.2,233.869
48.0,55.0,0.00645154,0.018386,0.0165446,0.3227,1.19694,1.36888,1.07547,0.00460452,1.08691,0.00348693,15.0,652.597,13188.7,228.993
48.0,55.0,0.00593428,0.0181119,0.0323353,0.536141,0.795174,0.751327,1.10927,0.00715058,0.783543,0.00199226,15.0,453.619,12810.7,221.143
48.0,55.0,0.00675338,0.0180553,0.0264897,0.536919,1.3589,0.851721,0.982416,0.00531937,2.04335,0.00320859,15.0,642.014,17446.9,249.579
48.0,55.0,0.00604768,0.0180574,0.0220037,0.488859,1.32531,1.1019,1.38813,0.00647986,1.01184,0.00286787,15.0,581.307,14741.0,223.077
48.0,55.0,0.00650874,0.018355,0.034125,0.252053,1.6044,2.01777,2.01227,0.0122335,0.986151,0.0036394,15.0,306.177,8978.88,239.953
48.0,55.0,0.00655407,0.0183154,0.0230183,0.272535,0.672379,0.873938,1.30538,0.0111944,1.06544,0.00346742,15.0,482.186,6703.91,232.118
48.0,55.0,0.00642259,0.0183043,0.0332257,0.449934,0.74408,0.705818,1.43259,0.0144332,1.97466,0.00249743,15.0,716.044,14169.9,237.936
48.0,55.0,0.00574095,0.018593,0.0311229,0.523122,0.948262,1.28909,0.664001,0.00447517,0.65425,0.001762,15.0,545.622,16075.3,213.859
48.0,55.0,0.00625698,0.0183011,0.0388782,0.309832,0.86779,1.30688,0.712249,0.0090745,2.75045,0.0023756,15.0,923.738,18117.2,230.735
48.0,55.0,0.00590206,0.0187541,0.0572377,0.218752,0.347002,1.20712,0.290735,0.00812561,1.74559,0.00134747,15.0,757.532,14584.4,228.492
48.0,55.0,0.00595758,0.0179456,0.0282412,0.548228,1.72522,1.02555,1.7695,0.00763853,1.11865,0.0023723,15.0,435.173,15305.1,230.077
48.0,55.0,0.00633716,0.0178652,0.0411439,0.524438,1.3665,1.19396,1.3727,0.00567483,0.904439,0.00298503,15.0,363.634,18731.1,226.541
48.0,55.0,0.00634204,0.017898,0.0373468,0.525417,1.38525,1.23267,1.26183,0.00539081,0.945946,0.00292012,15.0,405.915,19175.2,227.243
48.0,55.0,0.00609511,0.0178852,0.0206964,0.611047,1.56253,0.693816,0.618713,0.00170527,1.08063,0.00307695,15.0,453.629,17149.7,230.166
48.0,55.0,0.00576019,0.0183354,0.0387425,0.562036,1.20123,1.50182,1.33129,0.0155765,1.16723,0.00180114,15.0,680.248,14076.5,220.723
48.0,55.0,0.00593783,0.0185515,0.0412958,0.499911,0.879107,0.980647,0.448771,0.0149159,1.7932,0.00228196,15.0,764.702,5505.52,217.49
48.0,55.0,0.00582369,0.0184395,0.0309184,0.462306,1.11288,1.09639,0.736746,0.0137946,1.94929,0.00203755,15.0,870.875,8716.14,222.431
48.0,55.0,0.00571114,0.018414,0.0301917,0.587443,0.475858,0.687128,0.997652,0.0099924,1.04765,0.00134327,15.0,982.375,20271.8,218.067
48.0,55.0,0.00609832,0.0184205,0.0222166,0.55061,0.733328,0.571908,0.886522,0.00751842,1.44261,0.00241319,15.0,801.986,11403.7,229.724
48.0,55.0,0.00617378,0.0182432,0.0239062,0.455306,0.685228,0.866286,0.618556,0.00478682,1.28879,0.00183551,15.0,905.97,18569.4,235.476
48.0,55.0,0.00614437,0.0183767,0.0311166,0.382065,1.40404,1.17896,1.8461,0.0141742,1.23798,0.00343269,15.0,406.99,8410.46,225.611
48.0,55.0,0.00593948,0.0181745,0.0286405,0.363689,0.888404,1.5182,0.240349,0.0136844,0.627406,0.00134529,15.0,493.672,2332.06,235.313
48.0,55.0,0.00620991,0.0185424,0.0621157,0.267516,0.833402,0.867276,1.61805,0.00947086,2.01239,0.00430654,15.0,319.768,14846.3,220.22
48.0,55.0,0.00616969,0.0183903,0.0546588,0.235946,0.704988,1.11649,0.575067,0.00453483,1.75783,0.00272491,15.0,409.718,16940.6,228.627
48.0,55.0,0.00606516,0.0185319,0.0404966,0.234294,0.522874,0.973394,0.723972,0.00675517,1.60591,0.00278423,15.0,555.884,13269.1,218.929
48.0,55.0,0.00585905,0.0184373,0.0522923,0.390331,0.385449,0.565641,0.434132,0.00579451,1.60563,0.00197702,15.0,619.878,14301.7,213.385
48.0,55.0,0.00589671,0.0181381,0.0335257,0.792386,1.89923,1.46669,2.2959,0.0135949,0.909878,0.0018793,15.0,550.242,19825.5,226.083
48.0,55.0,0.00596823,0.0182888,0.0425119,0.84293,1.58217,1.00356,0.738833,0.0133789,1.33589,0.00210581,15.0,547.999,7191.06,227.335
48.0,55.0,0.00560767,0.0182471,0.028311,0.629948,1.37421,1.23761,0.622116,0.0030754,0.819459,0.00176209,15.0,584.833,18866.3,213.088
48.0,55.0,0.00590953,0.0178739,0.0456904,0.746084,0.841908,0.657949,0.638158,0.00422243,1.55272,0.00228946,15.0,663.846,23789.8,214.289
48.0,55.0,0.00585518,0.0183152,0.0364253,0.733382,0.639543,0.533516,0.873941,0.00544679,1.54675,0.00183661,15.0,816.643,27269.7,222.846
48.0,55.0,0.00588291,0.0183091,0.0573471,0.551694,0.614114,0.803062,0.761631,0.00707966,1.62632,0.00169387,15.0,695.951,26539.0,217.948
48.0,55.0,0.0058021,0.0185124,0.0615933,0.459856,1.30913,1.77965,1.61463,0.0101207,0.985983,0.00178679,15.0,381.287,22017.8,222.403
48.0,55.0,0.00572653,0.018237,0.0610745,0.369343,1.0903,1.47239,0.779179,0.0102303,1.9145,0.0024001,15.0,560.639,14762.7,207.696
48.0,55.0,0.00594013,0.0184287,0.0407342,0.398643,0.662178,0.676953,1.86882,0.0141221,1.62007,0.00256596,15.0,534.448,15513.2,220.349
48.0,55.0,0.00616166,0.0185468,0.0506657,0.394231,0.680832,0.882689,1.92953,0.0134959,1.68035,0.00300063,15.0,531.992,18897.9,217.146
48.0,55.0,0.00632017,0.0182117,0.046287,0.322644,0.803756,1.29418,0.267202,0.00392829,1.36785,0.00222606,15.0,513.144,11875.2,229.314
48.0,55.0,0.00588951,0.0189268,0.0546632,0.644654,0.681278,1.07958,1.34932,0.0152137,1.15183,0.00125368,15.0,709.184,25025.6,227.393
48.0,55.0,0.00611422,0.0186165,0.0316599,0.553345,0.816498,1.04908,1.16256,0.0118248,1.33818,0.00154966,15.0,919.655,19649.6,229.833
48.0,55.0,0.00583975,0.0183612,0.0195591,0.624994,1.0932,1.09789,1.09061,0.0102851,0.760299,0.00189357,15.0,758.093,9484.65,223.352
48.0,55.0,0.00610266,0.0181284,0.04206,0.532357,1.13487,0.972484,0.966098,0.00902035,1.46645,0.00231901,15.0,530.344,13918.4,225.994
