x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
48.0,55.0,0.00680441,0.0183187,0.066569,0.39435,0.68545,0.058758,1.05224,0.0108776,1.14327,0.000146066,15.0,732.059,16523.6,152.424
48.0,55.0,0.00485537,0.0185318,0.0488285,0.0198757,0.662012,0.405329,0.73685,0.00805166,0.794841,0.000187368,15.0,784.532,14594.8,132.119
48.0,55.0,0.00718702,0.018749,0.0497545,0.427947,0.629733,0.698989,1.02758,0.0143572,0.695604,0.00149986,15.0,763.64,14011.3,178.327
48.0,55.0,0.00635757,0.01825,0.0511387,0.482574,1.27872,1.52738,1.15363,0.00695977,1.42085,0.000894035,15.0,386.008,16990.3,244.116
48.0,55.0,0.00509064,0.0179866,0.0611796,0.419425,1.29874,1.49185,1.01792,0.00869693,1.5309,0.000406637,15.0,277.452,16017.1,297.091
48.0,55.0,0.0087811,0.0179725,0.0493609,0.165522,0.741687,0.100493,0.454048,0.013735,1.90755,0.00308793,15.0,757.038,15622.1,290.294
48.0,55.0,0.00710889,0.0184599,0.0580724,0.0664801,0.860334,0.369089,0.695586,0.0101542,1.13392,0.00212442,15.0,564.794,10106.1,166.923
48.0,55.0,0.00700904,0.0182743,0.0440204,0.664872,1.1653,1.21125,1.30308,0.00714496,0.908159,0.00347437,15.0,369.796,17032.6,254.268
48.0,55.0,0.00729289,0.0178489,0.0540437,0.702877,1.02756,1.19287,1.00481,0.00855811,0.790386,0.00298487,15.0,268.652,15314.1,334.189
48.0,55.0,0.00874897,0.0186495,0.0648214,0.167197,1.46513,0.675695,0.457209,0.00865555,1.06899,0.000811274,15.0,395.524,20168.6,320.063
48.0,55.0,0.00685301,0.0184313,0.0756153,0.0305428,1.28206,0.602447,0.283589,0.0111654,1.12286,0.00132641,15.0,409.05,21229.6,348.749
48.0,55.0,0.00967633,0.0187197,0.0791436,0.15721,1.3483,0.935306,0.552535,0.0110877,1.18715,0.00032747,15.0,401.259,19390.3,305.465
48.0,55.0,0.00738967,0.0180056,0.0481619,0.283412,1.86986,1.32376,0.799996,0.00815289,1.12415,0.00352763,15.0,461.511,11346.9,203.829
48.0,55.0,0.00344138,0.0186253,0.0396729,0.733431,0.940642,0.244679,1.58166,0.00906706,1.5101,0.0025708,15.0,706.504,13492.5,140.375
48.0,55.0,0.00820494,0.0181413,0.0539002,0.260552,1.21685,1.77296,1.22069,0.00531142,1.09908,0.000721787,15.0,431.299,18201.1,195.689
48.0,55.0,0.00651618,0.0188374,0.0919798,0.646901,1.62093,0.17049,1.33491,0.0141005,1.30514,0.000916531,15.0,672.119,15912.3,138.503
48.0,55.0,0.00440893,0.0187586,0.0639693,0.280022,1.85315,0.566589,1.40963,0.0120204,0.73997,0.00227807,15.0,549.59,11003.0,119.751
48.0,55.0,0.00431249,0.018867,0.0704116,0.0785107,0.515743,1.08092,1.2293,0.00888962,0.551044,0.00428699,15.0,313.175,10065.9,137.271
48.0,55.0,0.0063777,0.0176808,0.0510667,0.402553,1.86819,1.23224,1.1377,0.013174,1.60493,0.00271459,15.0,452.392,6460.24,179.842
