# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrCompReprFP_ID1_Try1_model
# start_datetime = 2024-08-13 07:41:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 4
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_ID1_Try1_4.data.R
# init = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_ID1_Try1_4.init.R
# random
#   seed = 1373177690 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_ID1_Try1_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kpl,ki,kr,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1,inits.2,inits.3
-9835.3,0.452628,0.000960023,3,15,0,10965.2,-1.93927,-1.9439,-2.0027,-1.99138,48,55,0.000166996,0.00077139,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,-0.00128065,1.2503e-05,15,450,12599,226
-9835.3,0,0.335363,0,1,1,9839.83,-1.93927,-1.9439,-2.0027,-1.99138,48,55,0.000166996,0.00077139,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,-0.00128065,1.2503e-05,15,450,12599,226
-9835.3,0,0.0625887,0,1,1,9839.6,-1.93927,-1.9439,-2.0027,-1.99138,48,55,0.000166996,0.00077139,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,-0.00128065,1.2503e-05,15,450,12599,226
-9835.3,0,0.00409109,0,1,1,9836.38,-1.93927,-1.9439,-2.0027,-1.99138,48,55,0.000166996,0.00077139,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,-0.00128065,1.2503e-05,15,450,12599,226
-9732.98,1,0.000163665,3,7,0,9837.42,-1.93453,-1.93977,-2.00158,-1.99208,48,55,0.000180032,0.000828198,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,-0.000751306,1.14854e-05,15,450,12599,226
-9722.65,1,0.000319803,3,7,0,9734.22,-1.9339,-1.93947,-2.00193,-1.99238,48,55,0.000181764,0.000832233,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,-0.000916445,1.10476e-05,15,450,12599,226
-9707.29,1,0.000288217,2,3,0,9726.89,-1.93352,-1.93841,-2.0014,-1.9922,48,55,0.000182823,0.000846865,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,-0.000662838,1.13168e-05,15,450,12599,226
-9464.4,1,0.00027932,3,7,0,9705.4,-1.91568,-1.92063,-2.00447,-1.99338,48,55,0.000231879,0.00109138,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,-0.00212122,9.5978e-06,15,450,12599,226
-9451.86,0.997735,0.000553969,3,7,0,9466.45,-1.9124,-1.91436,-2.00091,-1.98972,48,55,0.000240904,0.0011776,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,-0.000431909,1.4899e-05,15,450,12599,226
-9434.25,0.996213,0.000511542,4,15,0,9456,-1.90993,-1.91958,-1.99132,-1.98273,48,55,0.000247689,0.00110579,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.00412491,2.50398e-05,15,450,12599,226
-9407.37,0.952379,0.00143532,4,15,0,9434.52,-1.90401,-1.91669,-1.97849,-1.98388,48,55,0.000263974,0.00114554,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.0102173,2.33706e-05,15,450,12599,226
-9407.37,0.07911,0.0026598,3,13,1,9409.98,-1.90401,-1.91669,-1.97849,-1.98388,48,55,0.000263974,0.00114554,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.0102173,2.33706e-05,15,450,12599,226
-9395.34,0.999572,0.000142643,6,63,0,9408.5,-1.90424,-1.91612,-1.97215,-1.98171,48,55,0.000263342,0.00115337,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.0132304,2.65194e-05,15,450,12599,226
-9381.42,0.999142,0.000204857,5,31,0,9397.54,-1.9037,-1.9164,-1.96433,-1.97859,48,55,0.000264814,0.00114955,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.0169451,3.10439e-05,15,450,12599,226
-9349.64,0.999201,0.000304842,4,15,0,9382.44,-1.89908,-1.91318,-1.94789,-1.98339,48,55,0.000277531,0.00119374,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.0247534,2.40904e-05,15,450,12599,226
-7267.24,0.670342,0.00109541,6,63,0,9345.24,-1.60831,-1.87813,-1.63743,-1.97362,48,55,0.00107716,0.0016757,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.172221,3.82484e-05,15,450,12599,226
-7222.49,0.999954,0.000565157,3,7,0,7270.03,-1.59918,-1.87849,-1.63346,-1.97275,48,55,0.00110225,0.0016708,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.174106,3.95152e-05,15,450,12599,226
-7186.86,1,0.000823022,2,3,0,7224.19,-1.59124,-1.87639,-1.63368,-1.97394,48,55,0.00112409,0.00169962,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.174,3.77841e-05,15,450,12599,226
-7132.73,1,0.00126,3,7,0,7186.93,-1.57983,-1.87491,-1.62923,-1.9749,48,55,0.00115546,0.00171992,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.176117,3.63983e-05,15,450,12599,226
-7065.73,1,0.00325506,1,1,0,7133.23,-1.56491,-1.86987,-1.62453,-1.97734,48,55,0.00119649,0.00178924,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.178348,3.28561e-05,15,450,12599,226
-6947.72,0.333333,0.00390819,2,3,0,7065.89,-1.53613,-1.86414,-1.61342,-1.9726,48,55,0.00127565,0.00186809,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.183627,3.9733e-05,15,450,12599,226
-6937.01,0.993271,0.000855907,2,3,0,6949.74,-1.53335,-1.86521,-1.61296,-1.97246,48,55,0.0012833,0.00185332,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.183846,3.99263e-05,15,450,12599,226
-6856.84,0.998718,0.000768147,3,7,0,6939.94,-1.50946,-1.86744,-1.60948,-1.97391,48,55,0.00134897,0.00182265,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.185496,3.78257e-05,15,450,12599,226
-6646.43,0.64164,0.00338544,2,3,0,6858.73,-1.44628,-1.85189,-1.58095,-1.97263,48,55,0.00152272,0.00203652,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.199047,3.96851e-05,15,450,12599,226
-6625.97,1,0.000751513,3,7,0,6647.47,-1.44237,-1.85444,-1.57549,-1.97033,48,55,0.00153348,0.00200151,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.201642,4.30192e-05,15,450,12599,226
-6111.14,1,0.00235466,4,15,0,6630,-1.27629,-1.81547,-1.43421,-1.97825,48,55,0.00199021,0.00253726,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.26875,3.15364e-05,15,450,12599,226
-6072.07,0.930873,0.0047566,1,1,0,6111.98,-1.26502,-1.81151,-1.42008,-1.98394,48,55,0.0020212,0.00259168,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.275462,2.32905e-05,15,450,12599,226
-6072.07,0.365548,0.00420252,1,1,0,6074.47,-1.26502,-1.81151,-1.42008,-1.98394,48,55,0.0020212,0.00259168,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.275462,2.32905e-05,15,450,12599,226
-5896.92,0.976579,0.000787943,4,15,0,6076.93,-1.23367,-1.78136,-1.35163,-2.01292,48,55,0.00210742,0.00300624,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.307974,-1.87274e-05,15,450,12599,226
-5834.61,0.916942,0.00138151,3,7,0,5899.49,-1.22114,-1.76565,-1.33054,-2.01461,48,55,0.00214186,0.0032223,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.317994,-2.11917e-05,15,450,12599,226
-5766.76,0.42009,0.00229577,4,15,0,5835.73,-1.21031,-1.76056,-1.30444,-2.02226,48,55,0.00217166,0.00329236,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.330391,-3.22807e-05,15,450,12599,226
-5762.54,0.994324,0.000743643,3,7,0,5768.2,-1.20833,-1.7587,-1.30404,-2.02107,48,55,0.0021771,0.00331786,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.330583,-3.0558e-05,15,450,12599,226
-5744.05,0.985489,0.000953928,3,7,0,5763.6,-1.20256,-1.75427,-1.29983,-2.02283,48,55,0.00219296,0.00337878,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.332582,-3.31064e-05,15,450,12599,226
-3032.08,0.23661,0.00282184,4,15,0,5741.5,-0.936571,-1.35883,-0.778666,-2.1075,48,55,0.00292443,0.00881602,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.580134,-0.000155877,15,450,12599,226
-2996.09,0.999442,0.000404508,3,7,0,3034.93,-0.934801,-1.3506,-0.776753,-2.10845,48,55,0.0029293,0.00892921,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.581042,-0.00015725,15,450,12599,226
-2990.42,1,0.000351748,3,7,0,2997.45,-0.934421,-1.34962,-0.775596,-2.10773,48,55,0.00293034,0.00894266,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.581592,-0.000156209,15,450,12599,226
-2984.83,0.999933,0.000868724,4,15,0,2994.24,-0.934011,-1.34759,-0.777141,-2.10846,48,55,0.00293147,0.0089707,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.580858,-0.000157266,15,450,12599,226
-2951.66,0.999825,0.00101117,2,3,0,2986.29,-0.930049,-1.34302,-0.773272,-2.11229,48,55,0.00294237,0.00903341,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.582696,-0.000162818,15,450,12599,226
-2928.52,1,0.00180318,2,3,0,2953.63,-0.927724,-1.33985,-0.770258,-2.11581,48,55,0.00294876,0.00907705,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.584128,-0.00016793,15,450,12599,226
-629.897,1,0.00501784,7,127,0,2863.38,-0.483446,-0.807022,-0.455941,-2.25078,48,55,0.00417052,0.0164034,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.733428,-0.000363638,15,450,12599,226
-531.07,1,0.00554818,2,3,0,633.462,-0.432022,-0.737779,-0.411255,-2.23505,48,55,0.00431194,0.0173555,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.754654,-0.000340825,15,450,12599,226
-464.042,1,0.00774932,2,3,0,528.105,-0.366588,-0.664139,-0.401159,-2.24372,48,55,0.00449188,0.0183681,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.75945,-0.0003534,15,450,12599,226
-432.428,1,0.00957084,2,3,0,463.074,-0.291241,-0.604293,-0.384871,-2.22488,48,55,0.00469909,0.019191,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.767186,-0.00032607,15,450,12599,226
-432.428,0.0275413,0.0195388,2,3,0,433.027,-0.291241,-0.604293,-0.384871,-2.22488,48,55,0.00469909,0.019191,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.767186,-0.00032607,15,450,12599,226
-431.011,0.996955,0.00378972,5,31,0,434.425,-0.271147,-0.590766,-0.395087,-2.21807,48,55,0.00475435,0.019377,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.762334,-0.000316207,15,450,12599,226
-429.748,0.978275,0.00463531,3,7,0,432.165,-0.280366,-0.58747,-0.385364,-2.21286,48,55,0.00472899,0.0194223,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.766952,-0.00030865,15,450,12599,226
-431.573,0.950651,0.00678526,2,3,0,432.052,-0.274422,-0.600145,-0.379219,-2.22629,48,55,0.00474534,0.019248,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.769871,-0.000328121,15,450,12599,226
