# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrCompReprFP_ID2_Try1_model
# start_datetime = 2024-08-13 10:57:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_ID2_Try1_1.data.R
# init = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_ID2_Try1_1.init.R
# random
#   seed = 1384930150 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_ID2_Try1_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kpl,ki,kr,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1,inits.2,inits.3
-327.703,0.699328,0.0140307,4,17,0,328.07,0.11972,-0.650964,0.109816,-0.74746,48,55,0.00582923,0.0185492,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.00216,0.00181618,15,450,12599,226
-327.703,0,0.718345,0,1,1,328.342,0.11972,-0.650964,0.109816,-0.74746,48,55,0.00582923,0.0185492,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.00216,0.00181618,15,450,12599,226
-327.703,0,0.0989381,0,1,1,329.731,0.11972,-0.650964,0.109816,-0.74746,48,55,0.00582923,0.0185492,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.00216,0.00181618,15,450,12599,226
-327.516,0.994937,0.00954722,2,7,0,328.418,0.100427,-0.620086,0.109047,-0.740529,48,55,0.00577617,0.0189738,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.0018,0.00182623,15,450,12599,226
-326.816,0.997274,0.0111154,5,39,0,328.469,0.0788986,-0.635759,0.0743034,-0.818786,48,55,0.00571697,0.0187583,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.985294,0.00171276,15,450,12599,226
-326.41,0.956238,0.0127041,3,11,0,327.135,0.100542,-0.634455,0.0579895,-0.853588,48,55,0.00577649,0.0187762,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.977545,0.0016623,15,450,12599,226
-327.235,0.908763,0.00767376,5,47,0,328.994,0.0951614,-0.636427,0.152986,-0.701321,48,55,0.00576169,0.0187491,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.02267,0.00188308,15,450,12599,226
-327.235,0.00228317,0.0168479,1,1,0,330.233,0.0951614,-0.636427,0.152986,-0.701321,48,55,0.00576169,0.0187491,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.02267,0.00188308,15,450,12599,226
-327.417,0.999892,0.00080006,8,511,0,329.188,0.104567,-0.633874,0.155275,-0.645279,48,55,0.00578756,0.0187842,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.02376,0.00196435,15,450,12599,226
-328.492,0.999563,0.00140465,7,159,0,329.612,0.179428,-0.651746,0.155498,-0.522954,48,55,0.00599343,0.0185385,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.02386,0.00214172,15,450,12599,226
-330.62,0.996664,0.00242977,6,63,0,331.265,0.0874704,-0.615952,0.223534,-0.577146,48,55,0.00574054,0.0190307,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.05618,0.00206314,15,450,12599,226
-330.127,0.981781,0.00435785,6,87,0,335.014,0.118659,-0.646141,-0.0135971,-0.864577,48,55,0.00582631,0.0186156,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.943541,0.00164636,15,450,12599,226
-327.772,0.985804,0.00790974,2,7,0,330.729,0.107224,-0.663277,0.0229666,-0.867407,48,55,0.00579487,0.0183799,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.960909,0.00164226,15,450,12599,226
-328.126,0.99141,0.00886703,4,31,0,331.208,0.0681935,-0.651413,-0.00262941,-0.996082,48,55,0.00568753,0.0185431,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.948751,0.00145568,15,450,12599,226
-328.028,0.99599,0.0149266,4,15,0,328.421,0.0358089,-0.627809,0.067698,-0.979974,48,55,0.00559847,0.0188676,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.982157,0.00147904,15,450,12599,226
-327.239,0.904602,0.0171786,3,7,0,328.368,0.0598426,-0.636391,0.0359609,-0.972403,48,55,0.00566457,0.0187496,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.967081,0.00149002,15,450,12599,226
-327.239,9.61679e-06,0.0349712,1,3,0,327.91,0.0598426,-0.636391,0.0359609,-0.972403,48,55,0.00566457,0.0187496,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.967081,0.00149002,15,450,12599,226
-328.041,0.999728,0.00194528,5,63,0,328.997,0.0390125,-0.607069,0.07069,-0.976316,48,55,0.00560728,0.0191528,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.983578,0.00148434,15,450,12599,226
-329.179,0.968236,0.00439384,4,31,0,330.818,0.0256443,-0.607337,0.095266,-0.920991,48,55,0.00557052,0.0191491,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.995251,0.00156456,15,450,12599,226
-328.661,0.979846,0.00592653,2,7,0,330.379,0.0319089,-0.615805,0.112485,-0.932544,48,55,0.00558775,0.0190327,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.00343,0.00154781,15,450,12599,226
-329.862,0.958874,0.0108089,3,15,0,332.319,0.0134716,-0.607325,0.12783,-0.921028,48,55,0.00553705,0.0191493,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.01072,0.00156451,15,450,12599,226
