# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrCompReprFP_OED1_Try1_model
# start_datetime = 2024-08-12 17:18:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 4
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_OED1_Try1_4.data.R
# init = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_OED1_Try1_4.init.R
# random
#   seed = 1321360753 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_OED1_Try1_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kpl,ki,kr,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1,inits.2,inits.3
-160.632,0.847113,0.0124891,5,47,0,161.58,0.0998465,-0.718128,-0.0907555,-0.894476,48,55,0.00577458,0.0176257,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.906891,0.00160301,15,450,12599,226
-160.632,0,1.1483,0,1,1,161.378,0.0998465,-0.718128,-0.0907555,-0.894476,48,55,0.00577458,0.0176257,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.906891,0.00160301,15,450,12599,226
-160.632,0,0.105881,0,1,1,164.91,0.0998465,-0.718128,-0.0907555,-0.894476,48,55,0.00577458,0.0176257,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.906891,0.00160301,15,450,12599,226
-160.174,0.892814,0.0136364,2,3,0,162.196,0.101875,-0.743445,-0.0923138,-0.900332,48,55,0.00578016,0.0172776,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.906151,0.00159452,15,450,12599,226
-160.766,0.996503,0.0119515,6,79,0,162.112,-0.0378589,-0.367957,0.512002,-0.682995,48,55,0.00539589,0.0224406,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.1932,0.00190966,15,450,12599,226
-160.645,0.906352,0.0115018,5,63,0,162.142,0.0798765,-0.612172,0.223833,-0.484008,48,55,0.00571966,0.0190826,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.05632,0.00219819,15,450,12599,226
-159.025,0.997558,0.0130677,4,31,0,165,-0.0144429,-0.448645,0.410068,-0.642969,48,55,0.00546028,0.0213311,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.14478,0.00196769,15,450,12599,226
-159.236,0.876742,0.0235896,5,63,0,159.657,-0.0080854,-0.342225,0.724799,-0.284521,48,55,0.00547777,0.0227944,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.29428,0.00248745,15,450,12599,226
-162.94,0.919394,0.00959411,4,31,0,166.324,-0.0828652,-0.377914,0.770754,-0.368767,48,55,0.00527212,0.0223037,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.31611,0.00236529,15,450,12599,226
-159.933,0.979668,0.0128045,2,7,0,164.058,-0.0144324,-0.31047,0.749436,-0.339485,48,55,0.00546031,0.023231,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.30598,0.00240775,15,450,12599,226
