# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrCompReprFP_OED2_Try1_model
# start_datetime = 2024-08-13 06:09:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_OED2_Try1_1.data.R
# init = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_OED2_Try1_1.init.R
# random
#   seed = 1367664820 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_OED2_Try1_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kpl,ki,kr,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1,inits.2,inits.3
-315.596,0.957757,0.014429,3,15,0,315.937,0.101937,-0.678606,-0.0151415,-0.931384,48,55,0.00578033,0.0181692,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.942808,0.00154949,15,450,12599,226
-315.596,0,1.06714,0,1,1,317.018,0.101937,-0.678606,-0.0151415,-0.931384,48,55,0.00578033,0.0181692,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.942808,0.00154949,15,450,12599,226
-315.596,0,0.109756,0,1,1,318.343,0.101937,-0.678606,-0.0151415,-0.931384,48,55,0.00578033,0.0181692,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.942808,0.00154949,15,450,12599,226
-319.353,0.707271,0.0141715,3,15,0,320.8,0.0792407,-0.677154,-0.0920316,-1.01214,48,55,0.00571791,0.0181891,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.906285,0.0014324,15,450,12599,226
-319.37,0.997612,0.00456846,4,15,0,321.683,0.0899271,-0.72696,-0.0818381,-0.995052,48,55,0.0057473,0.0175043,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.911127,0.00145717,15,450,12599,226
-318.355,0.99988,0.00509949,6,71,0,320.749,0.111273,-0.659907,0.111436,-0.728778,48,55,0.005806,0.0184263,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.00293,0.00184327,15,450,12599,226
-316.812,0.999936,0.00772297,5,55,0,320.364,0.117691,-0.68333,-0.0643036,-0.982982,48,55,0.00582365,0.0181042,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.919456,0.00147468,15,450,12599,226
-317.58,0.840031,0.0241342,2,3,0,317.786,0.132137,-0.688143,-0.0536633,-0.982,48,55,0.00586338,0.018038,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.92451,0.0014761,15,450,12599,226
-317.058,0.765383,0.0192144,3,11,0,320.607,0.0642784,-0.648167,0.0737863,-0.846326,48,55,0.00567677,0.0185877,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.985048,0.00167283,15,450,12599,226
-315.47,0.991735,0.0141343,3,7,0,317.464,0.0887643,-0.670275,0.0312133,-0.809201,48,55,0.0057441,0.0182837,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.964826,0.00172666,15,450,12599,226
