# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrCompReprFP_Rand2_Try1_model
# start_datetime = 2024-08-14 23:40:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_Rand2_Try1_1.data.R
# init = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_Rand2_Try1_1.init.R
# random
#   seed = 1517115178 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_Rand2_Try1_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kpl,ki,kr,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1,inits.2,inits.3
-424.845,0.0453202,0.029861,2,7,0,427.132,0.196478,-0.691166,0.0497725,-0.800533,48,55,0.00604032,0.0179965,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.973642,0.00173923,15,450,12599,226
-424.845,0,0.260376,0,1,1,428.663,0.196478,-0.691166,0.0497725,-0.800533,48,55,0.00604032,0.0179965,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.973642,0.00173923,15,450,12599,226
-426.276,0.266061,0.0264323,2,5,0,427.028,0.170649,-0.708133,0.0700835,-0.80893,48,55,0.00596928,0.0177632,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.98329,0.00172705,15,450,12599,226
-427.154,0.999955,0.0017682,8,287,0,428.193,0.251957,-0.728036,-0.0223929,-0.919357,48,55,0.00619288,0.0174895,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.939363,0.00156693,15,450,12599,226
-428.12,0.998853,0.00171283,7,151,0,430.057,0.197258,-0.727127,-0.0246683,-1.04331,48,55,0.00604246,0.017502,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.938283,0.0013872,15,450,12599,226
-426.178,0.9997,0.00166183,5,31,0,429.111,0.204173,-0.705241,-0.0279523,-1.02994,48,55,0.00606147,0.0178029,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.936723,0.00140659,15,450,12599,226
-426.69,0.996974,0.00433532,4,15,0,427.076,0.232797,-0.702983,-0.00742015,-1.02408,48,55,0.00614019,0.017834,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.946475,0.00141509,15,450,12599,226
-426.476,0.998357,0.00430197,5,31,0,427.204,0.209542,-0.701557,-0.0451207,-0.985444,48,55,0.00607624,0.0178536,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.928568,0.00147111,15,450,12599,226
-426.876,0.998382,0.0109827,4,23,0,427.164,0.201672,-0.694666,0.0131876,-1.04018,48,55,0.0060546,0.0179483,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.956264,0.00139175,15,450,12599,226
-426.067,0.9583,0.0152335,4,31,0,428.414,0.169686,-0.681852,0.0672963,-0.666081,48,55,0.00596664,0.0181245,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.981966,0.00193418,15,450,12599,226
-425.754,0.826269,0.0269674,3,7,0,426.497,0.218059,-0.705998,0.0590842,-0.670838,48,55,0.00609966,0.0177925,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.978065,0.00192728,15,450,12599,226
-427.946,0.140335,0.0271818,3,15,0,434.265,0.17607,-0.708003,0.141678,-0.640845,48,55,0.00598419,0.017765,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.0173,0.00197078,15,450,12599,226
-427.622,0.999921,0.00107956,6,127,0,428.781,0.179348,-0.652127,0.0934138,-0.649868,48,55,0.00599321,0.0185333,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.994372,0.00195769,15,450,12599,226
-427.452,0.998868,0.00465985,6,71,0,430.254,0.195041,-0.675972,0.148908,-0.402971,48,55,0.00603636,0.0182054,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.02073,0.00231569,15,450,12599,226
-428.897,0.99497,0.00733937,4,31,0,430.749,0.154579,-0.666912,0.226007,-0.321841,48,55,0.00592509,0.01833,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.05735,0.00243333,15,450,12599,226
-427.254,0.848325,0.0130498,5,35,0,430.842,0.188527,-0.678482,-0.0116574,-1.05263,48,55,0.00601845,0.0181709,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.944463,0.00137369,15,450,12599,226
-428.717,0.962571,0.00984152,3,15,0,431.38,0.260783,-0.706122,-0.1005,-1.11527,48,55,0.00621715,0.0177908,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.902263,0.00128285,15,450,12599,226
-429.542,0.986886,0.0101724,4,23,0,431.582,0.0840217,-0.678434,0.0606751,-1.04109,48,55,0.00573106,0.0181715,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.978821,0.00139042,15,450,12599,226
-429.542,0.00906751,0.0290601,2,3,0,431.829,0.0840217,-0.678434,0.0606751,-1.04109,48,55,0.00573106,0.0181715,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.978821,0.00139042,15,450,12599,226
-431.882,0.999262,0.00215929,5,31,0,432.566,0.0507937,-0.663082,0.0756451,-1.04109,48,55,0.00563968,0.0183826,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.985931,0.00139042,15,450,12599,226
-428.206,0.999749,0.00405963,5,31,0,433.346,0.134753,-0.6844,0.0988057,-0.95546,48,55,0.00587057,0.0180895,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.996933,0.00151458,15,450,12599,226
-428.446,0.995877,0.00363442,4,15,0,429.101,0.129607,-0.697113,0.0932146,-0.946346,48,55,0.00585642,0.0179147,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.994277,0.0015278,15,450,12599,226
-426.153,1,0.00383834,6,127,0,429.766,0.167553,-0.705237,0.0547483,-0.769074,48,55,0.00596077,0.017803,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.976005,0.00178484,15,450,12599,226
-425.616,0.939253,0.0135059,3,15,0,427.078,0.168846,-0.680668,0.106145,-0.778229,48,55,0.00596433,0.0181408,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.00042,0.00177157,15,450,12599,226
-425.933,0.951191,0.0145051,3,15,0,429.302,0.229786,-0.687547,0.0841723,-0.740016,48,55,0.00613191,0.0180462,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.989982,0.00182698,15,450,12599,226
-425.365,0.699913,0.022999,2,3,0,426.48,0.182424,-0.675858,0.0619771,-0.737424,48,55,0.00600167,0.018207,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.979439,0.00183073,15,450,12599,226
-427.745,0.618595,0.0189384,2,7,0,427.852,0.210805,-0.722984,0.0765084,-0.723865,48,55,0.00607971,0.017559,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.986341,0.0018504,15,450,12599,226
-425.992,0.943501,0.00943559,3,7,0,430.289,0.227585,-0.699973,0.0920663,-0.70317,48,55,0.00612586,0.0178754,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.993732,0.0018804,15,450,12599,226
-426.125,0.989491,0.00951981,3,7,0,426.689,0.205702,-0.679987,0.0422406,-0.683345,48,55,0.00606568,0.0181502,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.970064,0.00190915,15,450,12599,226
-425.697,0.999847,0.0092756,3,15,0,426.435,0.246359,-0.702268,0.0594537,-0.699463,48,55,0.00617749,0.0178438,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.97824,0.00188578,15,450,12599,226
-425.445,0.348763,0.0357256,1,3,0,425.89,0.217493,-0.699944,0.0404505,-0.70644,48,55,0.00609811,0.0178758,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.969214,0.00187566,15,450,12599,226
-426.836,0.999446,0.00549235,6,63,0,427.254,0.191819,-0.672214,0.17007,-0.471378,48,55,0.0060275,0.0182571,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.03078,0.0022165,15,450,12599,226
-426.354,0.964658,0.0106917,3,15,0,427.571,0.182462,-0.680213,0.157318,-0.499929,48,55,0.00600177,0.0181471,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.02473,0.0021751,15,450,12599,226
-427.734,0.755201,0.015497,4,27,0,429.574,0.181513,-0.716238,0.0260436,-0.751681,48,55,0.00599916,0.0176517,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.962371,0.00181006,15,450,12599,226
-427.171,0.998122,0.00698731,5,47,0,430.224,0.233388,-0.716955,0.0436706,-0.884623,48,55,0.00614182,0.0176419,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.970744,0.0016173,15,450,12599,226
-426.772,0.966549,0.0127061,2,7,0,428.066,0.215031,-0.674579,-0.00161069,-0.879705,48,55,0.00609133,0.0182245,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.949235,0.00162443,15,450,12599,226
-426.772,4.72094e-07,0.0359265,1,3,1,426.897,0.215031,-0.674579,-0.00161069,-0.879705,48,55,0.00609133,0.0182245,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.949235,0.00162443,15,450,12599,226
-427.762,0.997046,0.00251363,7,191,0,430.551,0.147664,-0.648368,0.117271,-0.639682,48,55,0.00590608,0.0185849,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.0057,0.00197246,15,450,12599,226
-427.085,0.99342,0.00640243,4,31,0,430.728,0.146522,-0.683718,0.0906234,-0.613761,48,55,0.00590294,0.0180989,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.993046,0.00201005,15,450,12599,226
-425.788,0.995497,0.00954545,4,23,0,428.737,0.154445,-0.687466,0.110865,-0.648337,48,55,0.00592472,0.0180473,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.00266,0.00195991,15,450,12599,226
-425.449,0.973143,0.0138017,4,23,0,426.663,0.175136,-0.68196,0.117412,-0.611747,48,55,0.00598162,0.018123,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.00577,0.00201297,15,450,12599,226
-425.752,0.897041,0.0161613,4,23,0,426.483,0.216155,-0.707137,0.0620592,-0.680254,48,55,0.00609443,0.0177769,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.979478,0.00191363,15,450,12599,226
-428.41,0.277055,0.0230369,3,15,0,430.525,0.11576,-0.647787,0.120588,-0.83038,48,55,0.00581834,0.0185929,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.00728,0.00169595,15,450,12599,226
-426.33,0.999611,0.0031268,6,63,0,429.686,0.18851,-0.673601,0.013359,-0.859733,48,55,0.0060184,0.018238,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.956346,0.00165339,15,450,12599,226
-425.168,0.99884,0.00361359,6,95,0,428.065,0.166546,-0.677351,0.0942566,-0.720897,48,55,0.005958,0.0181864,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.994772,0.0018547,15,450,12599,226
-426.379,0.957048,0.00760388,3,15,0,427.104,0.140277,-0.661094,0.0996122,-0.725197,48,55,0.00588576,0.01841,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.997316,0.00184846,15,450,12599,226
-425.483,0.997485,0.0126293,4,31,0,427.496,0.199761,-0.6997,0.0915344,-0.702669,48,55,0.00604934,0.0178791,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.993479,0.00188113,15,450,12599,226
-425.87,0.984163,0.0184999,4,23,0,427.099,0.236124,-0.687191,0.00180641,-0.845717,48,55,0.00614934,0.0180511,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.950858,0.00167371,15,450,12599,226
-429.116,0.781561,0.0136588,2,3,0,429.155,0.226214,-0.738052,-0.00492531,-0.843911,48,55,0.00612209,0.0173518,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.94766,0.00167633,15,450,12599,226
-433.128,0.258286,0.0318719,2,5,1,434.21,0.2934,-0.678632,0.0792261,-0.835897,48,55,0.00630685,0.0181688,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.987632,0.00168795,15,450,12599,226
-428.906,0.999094,0.00404105,4,15,0,434.475,0.268239,-0.701967,0.0773149,-0.813797,48,55,0.00623766,0.017848,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.986725,0.00171999,15,450,12599,226
-431.873,0.935327,0.0114172,3,7,0,434.853,0.251429,-0.707519,-0.0904617,-0.834177,48,55,0.00619143,0.0177716,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.907031,0.00169044,15,450,12599,226
-435.739,0.945965,0.00736133,3,7,0,436.267,0.256127,-0.692212,-0.1069,-0.819294,48,55,0.00620435,0.0179821,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.899223,0.00171202,15,450,12599,226
-429.281,1,0.0110551,3,7,0,436.265,0.246535,-0.721701,-0.0562763,-0.812811,48,55,0.00617797,0.0175766,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.923269,0.00172142,15,450,12599,226
-428.353,0.642563,0.0267799,3,7,0,430.02,0.110726,-0.691277,0.0188468,-1.04314,48,55,0.0058045,0.0179949,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.958952,0.00138745,15,450,12599,226
-426.327,0.963472,0.0150972,4,15,0,429.718,0.213959,-0.701942,-0.021946,-0.853141,48,55,0.00608839,0.0178483,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.939576,0.00166295,15,450,12599,226
-429.456,0.854225,0.0138123,4,31,0,431.267,0.121709,-0.685686,0.177432,-0.761692,48,55,0.0058347,0.0180718,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,1.03428,0.00179555,15,450,12599,226
-427.378,0.998796,0.0159048,3,7,0,430.8,0.124786,-0.700456,0.0786744,-0.803473,48,55,0.00584316,0.0178687,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.98737,0.00173496,15,450,12599,226
-427.378,0.00177377,0.0360874,1,3,0,430.419,0.124786,-0.700456,0.0786744,-0.803473,48,55,0.00584316,0.0178687,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.98737,0.00173496,15,450,12599,226
-425.575,0.984293,0.00390096,4,15,0,430.379,0.148787,-0.680633,0.101019,-0.789669,48,55,0.00590917,0.0181413,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.997984,0.00175498,15,450,12599,226
