# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrCompReprFP_Rand2_Try1_model
# start_datetime = 2024-08-14 23:40:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 3
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_Rand2_Try1_3.data.R
# init = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_Rand2_Try1_3.init.R
# random
#   seed = 1517115184 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_Rand2_Try1_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kpl,ki,kr,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1,inits.2,inits.3
-425.25,0.837867,0.016789,2,7,0,425.929,0.16792,-0.695091,0.0649057,-0.804636,48,55,0.00596178,0.0179425,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.98083,0.00173328,15,450,12599,226
-425.25,0,0.566382,0,1,1,427.436,0.16792,-0.695091,0.0649057,-0.804636,48,55,0.00596178,0.0179425,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.98083,0.00173328,15,450,12599,226
-425.25,0,0.175852,0,1,1,426.605,0.16792,-0.695091,0.0649057,-0.804636,48,55,0.00596178,0.0179425,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.98083,0.00173328,15,450,12599,226
-425.156,0.904301,0.013997,4,27,0,426.375,0.201825,-0.701932,0.0577827,-0.762731,48,55,0.00605502,0.0178484,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.977447,0.00179404,15,450,12599,226
-425.698,0.998032,0.0101988,4,15,0,425.968,0.231755,-0.709067,0.012189,-0.778102,48,55,0.00613733,0.0177503,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.95579,0.00177175,15,450,12599,226
-425.925,0.870318,0.0133291,3,15,0,427.6,0.19208,-0.702582,0.0853057,-0.789163,48,55,0.00602822,0.0178395,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.99052,0.00175571,15,450,12599,226
-425.715,0.993137,0.0104133,3,15,0,426.687,0.208787,-0.677441,0.0310012,-0.787464,48,55,0.00607416,0.0181852,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.964726,0.00175818,15,450,12599,226
-425.386,0.995217,0.0206112,3,15,0,425.865,0.227085,-0.705535,0.051055,-0.756582,48,55,0.00612448,0.0177989,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.974251,0.00180296,15,450,12599,226
-425.386,0.151477,0.0330765,1,3,0,426.176,0.227085,-0.705535,0.051055,-0.756582,48,55,0.00612448,0.0177989,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.974251,0.00180296,15,450,12599,226
-424.977,0.999636,0.00272248,6,127,0,426.679,0.218462,-0.696979,0.0444976,-0.769602,48,55,0.00610077,0.0179165,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.971136,0.00178408,15,450,12599,226
