# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrCompRepr_ID1_Try1_model
# start_datetime = 2024-08-16 16:43:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_ID1_Try1_1.data.R
# init = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_ID1_Try1_1.init.R
# random
#   seed = 1664904536 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_ID1_Try1_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kpl,kbn,kun,kbp,kup,kunE,kbnE,ki,kr,NADH,NAD,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1,inits.2,inits.3
-159.889,0.906478,0.0122068,6,91,0,163.92,0.910128,-0.647717,-1.20514,-0.385134,-1.08893,-0.949707,-0.504606,-0.26617,0.121406,-0.0164594,-0.333481,0.525056,-0.766026,48,55,0.00800285,0.0185939,0.0178843,0.363345,0.43276,0.498889,0.710312,0.00736878,1.00767,0.00287613,15,563.295,19360.4,339.343
-159.889,0,1.46833,0,1,1,167.999,0.910128,-0.647717,-1.20514,-0.385134,-1.08893,-0.949707,-0.504606,-0.26617,0.121406,-0.0164594,-0.333481,0.525056,-0.766026,48,55,0.00800285,0.0185939,0.0178843,0.363345,0.43276,0.498889,0.710312,0.00736878,1.00767,0.00287613,15,563.295,19360.4,339.343
-159.889,0,0.191146,0,1,1,167.323,0.910128,-0.647717,-1.20514,-0.385134,-1.08893,-0.949707,-0.504606,-0.26617,0.121406,-0.0164594,-0.333481,0.525056,-0.766026,48,55,0.00800285,0.0185939,0.0178843,0.363345,0.43276,0.498889,0.710312,0.00736878,1.00767,0.00287613,15,563.295,19360.4,339.343
-159.564,0.189637,0.0130168,8,255,0,163.541,0.456453,-0.708132,0.935252,-0.18119,1.43529,0.0762431,0.524803,0.211339,1.061,-0.600547,-1.69607,-1.17871,-0.81748,48,55,0.00675525,0.0177632,0.0660432,0.409232,1.63176,0.986215,1.19928,0.00939819,1.45398,0.00202921,15,209.022,8456.24,325.193
-168.014,0.997563,0.00151586,10,1023,0,170.91,0.609116,-0.695581,-0.958763,0.77162,0.334761,-2.08111,0.284126,0.110161,1.52692,0.250828,-2.03728,-0.654773,-0.133086,48,55,0.00717507,0.0179358,0.0234278,0.623615,1.10901,-0.0385286,1.08496,0.00896819,1.67529,0.0032637,15,120.306,11809.5,513.401
-167.363,0.967701,0.00184912,10,1023,0,178.728,1.25384,-0.462221,-0.694342,-0.565277,1.78214,0.221252,-1.38591,0.804894,1.58974,0.351832,-1.35548,0.505924,0.110986,48,55,0.00894806,0.0211445,0.0293773,0.322813,1.79652,1.05509,0.291692,0.0119208,1.70513,0.00341016,15,297.576,19237.9,580.521
-164.821,0.999015,0.00188374,10,1023,0,171.088,0.105244,-0.654235,0.109106,-0.190382,1.04088,-0.876026,-0.121891,0.456448,1.04407,-0.062331,-1.65809,0.629991,-0.824581,48,55,0.00578942,0.0185043,0.0474549,0.407164,1.44442,0.533888,0.892102,0.0104399,1.44593,0.00280962,15,218.897,20031.9,323.24
-165.577,0.998685,0.00325881,10,1023,0,172.102,0.67551,-0.000235336,1.20419,0.0726696,0.0271944,-0.453641,-1.23467,1.67551,-0.31122,-0.743634,-1.94129,1.51752,0.881472,48,55,0.00735765,0.0274968,0.0720942,0.466351,0.962917,0.734521,0.363531,0.0156209,0.80217,0.00182173,15,145.265,25712.1,792.405
-163.331,0.932363,0.00371538,10,1023,0,170.632,0.530413,-0.601298,-1.03073,-0.452645,-0.0871233,-1.34955,0.17139,-1.32042,0.150779,0.346642,-1.78703,-0.355366,-0.412128,48,55,0.00695863,0.0192321,0.0218085,0.348155,0.908616,0.308962,1.03141,0.00288822,1.02162,0.00340263,15,185.373,13725.7,436.665
-161.18,0.991115,0.00776045,9,511,0,167.122,0.908551,-0.718052,-0.49197,0.120906,-0.521428,-1.07182,-0.320165,-0.933731,-0.237833,0.222292,-1.56612,0.188771,-0.739299,48,55,0.00799852,0.0176268,0.0339307,0.477204,0.702322,0.440886,0.797922,0.00453164,0.837029,0.00322232,15,242.809,17208.1,346.693
-166.82,0.995122,0.00455856,9,511,0,169.228,0.216803,-0.484523,-0.42041,0.172296,0.47665,-1.36658,2.06151,2.00782,0.110278,1.94873,-1.90013,-0.08543,-0.274778,48,55,0.00609621,0.0208378,0.0355408,0.488767,1.17641,0.300876,1.92922,0.0170333,1.00238,0.00572566,15,155.965,15453.2,474.436
