# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrCompRepr_ID3_Try1_model
# start_datetime = 2024-08-30 14:27:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 4
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_ID3_Try1_4.data.R
# init = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_ID3_Try1_4.init.R
# random
#   seed = 2866338351 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_ID3_Try1_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kpl,kbn,kun,kbp,kup,kunE,kbnE,ki,kr,NADH,NAD,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1,inits.2,inits.3
-440.453,0.891118,0.00206498,10,1023,0,448.613,0.0646898,-0.652087,0.936348,1.76438,-0.0683633,0.0129072,-0.351026,1.23351,2.31903,-1.12827,0.502028,1.73618,-1.06206,48,55,0.0056779,0.0185338,0.0660678,0.846985,0.917527,0.956131,0.783263,0.0137424,2.05154,0.001264,15,780.527,27111.5,257.934
-440.453,0,1.18207,0,1,1,445.389,0.0646898,-0.652087,0.936348,1.76438,-0.0683633,0.0129072,-0.351026,1.23351,2.31903,-1.12827,0.502028,1.73618,-1.06206,48,55,0.0056779,0.0185338,0.0660678,0.846985,0.917527,0.956131,0.783263,0.0137424,2.05154,0.001264,15,780.527,27111.5,257.934
-440.453,0,0.0828932,0,1,1,446.183,0.0646898,-0.652087,0.936348,1.76438,-0.0683633,0.0129072,-0.351026,1.23351,2.31903,-1.12827,0.502028,1.73618,-1.06206,48,55,0.0056779,0.0185338,0.0660678,0.846985,0.917527,0.956131,0.783263,0.0137424,2.05154,0.001264,15,780.527,27111.5,257.934
-440.453,0.0744792,0.0119682,2,5,1,448.73,0.0646898,-0.652087,0.936348,1.76438,-0.0683633,0.0129072,-0.351026,1.23351,2.31903,-1.12827,0.502028,1.73618,-1.06206,48,55,0.0056779,0.0185338,0.0660678,0.846985,0.917527,0.956131,0.783263,0.0137424,2.05154,0.001264,15,780.527,27111.5,257.934
-438.84,0.997488,0.00117464,10,1023,0,443.238,0.309656,-0.659565,0.859418,1.37322,-0.200285,-0.192915,-0.129629,1.33597,2.35408,-0.99057,-0.284878,1.43249,-0.850804,48,55,0.00635155,0.018431,0.0643369,0.758974,0.854865,0.858366,0.888426,0.0141779,2.06819,0.00146367,15,575.932,25168,316.029
-436.291,0.999963,0.00102872,10,1023,0,443.089,0.32213,-0.643608,0.969197,2.17452,0.368759,0.181637,-0.365421,0.895491,1.21258,-1.07202,-0.638623,1.43613,-0.803751,48,55,0.00638586,0.0186504,0.0668069,0.939266,1.12516,1.03628,0.776425,0.0123058,1.52598,0.00134557,15,483.958,25191.3,328.968
-434.392,0.999603,0.000855311,10,1023,0,443.415,0.761828,-0.663083,0.414955,1.66779,0.640148,0.186466,-0.562443,0.777802,1.69408,-1.07151,-0.797848,0.754181,-0.52582,48,55,0.00759503,0.0183826,0.0543365,0.825254,1.25407,1.03857,0.68284,0.0118057,1.75469,0.00134631,15,442.559,20826.8,405.399
-435.161,0.999607,0.00131972,10,1023,0,440.071,0.562002,-0.689007,0.424847,1.30529,0.595373,0.524018,-0.666513,0.411284,1.73746,-1.31583,-0.639799,1.50472,-0.571549,48,55,0.0070455,0.0180262,0.0545591,0.74369,1.2328,1.19891,0.633406,0.010248,1.7753,0.000992045,15,483.652,25630.2,392.824
-434.859,0.99871,0.00388935,10,1023,0,441.587,0.734022,-0.667336,-0.675182,-1.21039,-0.155669,-0.298109,-0.710033,-0.429615,-0.834394,0.572836,-1.89735,-1.37044,-0.235847,48,55,0.00751856,0.0183241,0.0298084,0.177663,0.876057,0.808398,0.612734,0.00667414,0.553663,0.00373061,15,156.69,7229.2,485.142
-433.735,0.803766,0.00618432,8,511,0,442.174,0.125677,-0.647155,-0.0544637,-0.100524,-0.0311359,-0.641761,0.198178,-0.7562,0.748965,-0.248379,-1.14258,-0.33181,-1.21662,48,55,0.00584561,0.0186016,0.0437746,0.427382,0.93521,0.645163,1.04413,0.00528615,1.30576,0.00253985,15,352.93,13876.4,215.429
-432.715,0.97781,0.00330551,9,927,0,438.278,0.379616,-0.672003,-1.03657,0.275755,0.529772,-0.618392,-0.558457,-0.921144,0.748307,0.329731,-1.03299,-0.77856,-0.826244,48,55,0.00654394,0.01826,0.0216771,0.512045,1.20164,0.656264,0.684733,0.00458514,1.30545,0.00337811,15,381.422,11017.2,322.783
-432.346,0.918833,0.00576804,9,511,0,437.814,0.668567,-0.668694,0.356976,-0.668187,-0.613085,0.769108,-0.274572,0.280593,0.0564024,-0.715107,-1.40318,0.108473,-0.616737,48,55,0.00733856,0.0183055,0.053032,0.299658,0.658785,1.31533,0.819578,0.00969252,0.976791,0.0018631,15,285.172,16694.2,380.397
-434.407,0.508893,0.0103191,5,58,1,444.173,0.978745,-0.650376,0.332225,-0.79623,-0.857911,0.709342,-0.620939,0.771121,0.259694,-1.00396,-1.33439,-0.265716,-0.46359,48,55,0.00819155,0.0185573,0.0524751,0.270848,0.542492,1.28694,0.655054,0.0117773,1.07335,0.00144426,15,303.058,14299.4,422.513
-430.928,0.998695,0.00384605,10,1023,0,437.656,0.44919,-0.669638,0.767356,-0.454649,0.312554,0.897508,-0.533715,0.282625,0.405701,-0.781523,-1.56439,-0.43659,-0.692865,48,55,0.00673527,0.0182925,0.0622655,0.347704,1.09846,1.37632,0.696485,0.00970115,1.14271,0.00176679,15,243.257,13205.8,359.462
-432.153,0.911707,0.00407793,9,575,0,438.083,0.830926,-0.690063,0.0740664,-0.293449,0.0272491,0.930911,-0.457934,-0.224678,-0.370496,-0.690836,-1.53405,0.0516462,-0.51737,48,55,0.00778505,0.0180116,0.0466665,0.383974,0.962943,1.39218,0.732482,0.00754512,0.774015,0.00189829,15,251.147,16330.5,407.723
-432.023,0.978055,0.00304897,10,1023,0,434.962,0.387341,-0.654752,-0.166946,-0.0734755,0.945944,0.736827,-0.315032,-0.579259,-0.0914037,-0.668563,-1.52991,-0.0293929,-0.684706,48,55,0.00656519,0.0184972,0.0412437,0.433468,1.39932,1.29999,0.80036,0.00603815,0.906583,0.00193058,15,252.225,15811.9,361.706
-434.806,0.942555,0.00569045,8,511,0,439.735,0.648403,-0.685911,-0.669432,-0.313893,1.17225,1.19391,-0.293684,-1.31079,-0.361496,0.516686,-1.43071,0.58582,-0.841359,48,55,0.00728311,0.0180687,0.0299378,0.379374,1.50682,1.51711,0.8105,0.00292915,0.778289,0.00364919,15,278.014,19749.2,318.626
-434.806,0.0516906,0.010584,1,3,0,440.25,0.648403,-0.685911,-0.669432,-0.313893,1.17225,1.19391,-0.293684,-1.31079,-0.361496,0.516686,-1.43071,0.58582,-0.841359,48,55,0.00728311,0.0180687,0.0299378,0.379374,1.50682,1.51711,0.8105,0.00292915,0.778289,0.00364919,15,278.014,19749.2,318.626
-437.83,0.998856,0.00118882,10,1023,0,441.201,1.04825,-0.660849,-0.914199,-0.877927,1.03109,1.11934,-0.30398,-1.39882,-0.391587,0.504668,-1.71453,0.467397,-0.375948,48,55,0.0083827,0.0184133,0.0244305,0.252466,1.43977,1.48169,0.805609,0.00255501,0.763996,0.00363177,15,204.221,18991.3,446.614
-432.66,0.99382,0.00139694,10,1023,0,445.721,0.0429102,-0.657394,1.4749,-1.1584,-0.162203,-0.33789,0.18812,-0.17009,0.202424,0.972093,-1.85052,-0.755886,-1.03395,48,55,0.005618,0.0184608,0.0781851,0.18936,0.872954,0.789502,1.03936,0.00777712,1.04615,0.00430953,15,168.864,11162.3,265.664
-434.315,0.986829,0.00223898,10,1023,0,439.31,0.147955,-0.683681,0.826351,-0.331097,-0.117775,-0.59308,0.547083,-0.1489,0.950419,1.11867,-1.42221,-0.798358,-1.24413,48,55,0.00590688,0.0180994,0.0635929,0.375503,0.894057,0.668287,1.20986,0.00786718,1.40145,0.00452206,15,280.224,10890.5,207.865
-431.617,0.996672,0.00277074,10,1023,0,437.977,0.349757,-0.632543,0.466404,0.425055,0.0641089,-1.01752,-0.58525,-0.387974,0.339575,-0.764421,-1.7348,-0.360322,-0.572921,48,55,0.00646183,0.0188025,0.0554941,0.545637,0.980452,0.466676,0.672006,0.00685111,1.1113,0.00179159,15,198.951,13693.9,392.447
