# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrCompRepr_OED1_Try1_model
# start_datetime = 2024-08-16 16:38:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_OED1_Try1_1.data.R
# init = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_OED1_Try1_1.init.R
# random
#   seed = 1664604919 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_OED1_Try1_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kpl,kbn,kun,kbp,kup,kunE,kbnE,ki,kr,NADH,NAD,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1,inits.2,inits.3
-158.008,0.200478,0.0196616,2,5,1,163.511,0.702361,-0.687705,-0.102179,-0.0639397,0.558531,-0.205906,-0.190725,0.743869,0.469566,-1.15001,-1.3522,1.41825,-0.705905,48,55,0.00743149,0.0180441,0.042701,0.435614,1.2153,0.852195,0.859406,0.0116614,1.17304,0.00123249,15,298.427,25076.8,355.876
-158.008,0,0.169432,0,1,1,165.025,0.702361,-0.687705,-0.102179,-0.0639397,0.558531,-0.205906,-0.190725,0.743869,0.469566,-1.15001,-1.3522,1.41825,-0.705905,48,55,0.00743149,0.0180441,0.042701,0.435614,1.2153,0.852195,0.859406,0.0116614,1.17304,0.00123249,15,298.427,25076.8,355.876
-158.008,0.228653,0.0419459,1,3,1,160.552,0.702361,-0.687705,-0.102179,-0.0639397,0.558531,-0.205906,-0.190725,0.743869,0.469566,-1.15001,-1.3522,1.41825,-0.705905,48,55,0.00743149,0.0180441,0.042701,0.435614,1.2153,0.852195,0.859406,0.0116614,1.17304,0.00123249,15,298.427,25076.8,355.876
-158.611,0.99974,0.0031093,10,1023,0,160.801,0.766274,-0.685559,-1.39802,-0.343463,0.723358,0.393764,0.320318,0.505448,0.823909,0.14809,-0.224243,-1.30022,-0.793406,48,55,0.00760725,0.0180736,0.0135446,0.372721,1.2936,1.13704,1.10215,0.0106482,1.34136,0.00311473,15,591.697,7678.62,331.813
-160.183,0.98317,0.00340816,10,1023,0,164.318,0.981795,-0.726411,-1.08287,-1.10082,-0.655319,0.394016,0.173524,0.299714,1.55947,-0.295961,-0.460615,-1.53045,-0.888995,48,55,0.00819994,0.0175118,0.0206355,0.202316,0.638724,1.13716,1.03242,0.00977378,1.69075,0.00247086,15,530.24,6205.13,305.526
-158.73,0.971896,0.00575191,8,511,0,165.389,0.698756,-0.669726,-0.956936,0.181274,-0.184813,-0.146389,0.672558,0.253147,0.594749,-0.28918,-0.505586,-0.604589,-0.782834,48,55,0.00742158,0.0182913,0.0234689,0.490787,0.862214,0.880465,1.26947,0.00957587,1.23251,0.00248069,15,518.548,12130.6,334.721
-158.174,0.999822,0.00612623,9,511,0,163.014,0.529746,-0.576366,-0.17157,0.0952424,0.671029,-0.22885,-1.00926,0.0480259,-0.287587,-0.171432,-1.56246,0.549883,-0.621001,48,55,0.0069568,0.019575,0.0411397,0.47143,1.26874,0.841296,0.470603,0.00870411,0.813396,0.00265142,15,243.761,19519.2,379.225
-157.88,0.907154,0.00772571,9,511,0,162.14,0.699532,-0.667071,-1.11457,-0.320505,-0.340911,0.0568871,0.445571,0.396678,0.71867,-1.0044,-0.386378,-0.0157898,-0.597334,48,55,0.00742371,0.0183278,0.0199222,0.377886,0.788067,0.977021,1.16165,0.0101859,1.29137,0.00144361,15,549.542,15898.9,385.733
-157.737,0.999759,0.00702958,7,255,0,159.326,0.876094,-0.636453,-1.00361,-0.130978,-0.380332,0.184865,-0.231276,-0.0939547,0.207144,-1.02752,-0.784851,0.163749,-0.347708,48,55,0.00790926,0.0187488,0.0224188,0.42053,0.769342,1.03781,0.840144,0.00810069,1.04839,0.00141009,15,445.939,17048,454.38
-159.09,0.00612128,0.0179587,6,110,1,166.643,0.903478,-0.614567,-0.981082,-0.154773,-0.39017,0.179496,-0.241991,-0.124586,0.244336,-1.04077,-0.785245,0.172504,-0.362821,48,55,0.00798456,0.0190497,0.0229257,0.415176,0.764669,1.03526,0.835054,0.00797051,1.06606,0.00139088,15,445.836,17104,450.224
