# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrCompRepr_OED2_Try1_model
# start_datetime = 2024-08-20 14:20:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 3
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_OED2_Try1_3.data.R
# init = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_OED2_Try1_3.init.R
# random
#   seed = 2001926194 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_OED2_Try1_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kpl,kbn,kun,kbp,kup,kunE,kbnE,ki,kr,NADH,NAD,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1,inits.2,inits.3
-329.622,0.377099,0.00453595,9,511,0,349.262,0.304645,-0.694495,0.625444,-0.2877,0.915527,1.78693,-0.555279,0.144463,1.54894,-0.497483,-0.778398,-0.808348,-1.11803,48,55,0.00633777,0.0179507,0.0590725,0.385268,1.38488,1.79879,0.686242,0.00911397,1.68574,0.00217865,15,447.616,10826.6,242.541
-329.622,0,0.314347,0,1,1,333.907,0.304645,-0.694495,0.625444,-0.2877,0.915527,1.78693,-0.555279,0.144463,1.54894,-0.497483,-0.778398,-0.808348,-1.11803,48,55,0.00633777,0.0179507,0.0590725,0.385268,1.38488,1.79879,0.686242,0.00911397,1.68574,0.00217865,15,447.616,10826.6,242.541
-329.622,0,0.0439558,0,1,1,334.75,0.304645,-0.694495,0.625444,-0.2877,0.915527,1.78693,-0.555279,0.144463,1.54894,-0.497483,-0.778398,-0.808348,-1.11803,48,55,0.00633777,0.0179507,0.0590725,0.385268,1.38488,1.79879,0.686242,0.00911397,1.68574,0.00217865,15,447.616,10826.6,242.541
-329.218,0.989103,0.00180767,10,1023,0,334.126,0.243624,-0.665956,1.27734,0.0552968,0.667175,1.14767,-0.606874,-0.0478814,1.48765,-0.351228,-0.855597,-0.393246,-1.17984,48,55,0.00616997,0.0183431,0.0737401,0.462442,1.26691,1.49514,0.661735,0.0082965,1.65663,0.00239072,15,427.545,13483.2,225.545
-329.732,0.960723,0.00302105,10,1023,0,334.17,0.577623,-0.758455,-1.50002,-0.566863,-0.738668,-0.931116,0.249567,-0.832003,-0.370279,-0.0431955,-0.448153,-0.461837,-1.04063,48,55,0.00708846,0.0170712,0.0112496,0.322456,0.599133,0.50772,1.06854,0.00496399,0.774118,0.00283737,15,533.48,13044.2,263.826
-327.1,0.902511,0.00414247,9,511,0,335.843,0.300729,-0.675434,-1.18349,-0.653786,-0.432356,-0.49646,0.874147,-1.1545,-0.430325,0.55722,-0.976547,-0.131949,-1.18303,48,55,0.006327,0.0182128,0.0183716,0.302898,0.744631,0.714182,1.36522,0.00359337,0.745596,0.00370797,15,396.098,15155.5,224.667
-326.27,0.262164,0.00391459,10,1023,0,332.864,0.345621,-0.691568,-1.45418,-0.59334,-0.569482,-0.417977,0.515034,-1.43557,-0.903882,0.173747,-0.780116,0.124645,-1.13056,48,55,0.00645046,0.0179909,0.012281,0.316498,0.679496,0.751461,1.19464,0.00239882,0.520656,0.00315193,15,447.17,16797.7,239.097
-328.403,0.999879,0.000303425,10,1023,0,333.678,0.266583,-0.665179,-1.32919,-0.314795,-0.839495,-0.673191,0.71786,-1.5791,-0.908028,0.477147,-0.752749,0.0611045,-1.19534,48,55,0.0062331,0.0183538,0.0150932,0.379171,0.55124,0.630234,1.29098,0.00178884,0.518687,0.00359186,15,454.285,16391.1,221.281
-328.052,0.997745,0.00063679,10,1023,0,339.647,0.534272,-0.750082,-1.34898,-1.03755,-0.817443,-0.353109,-0.249299,-1.44676,-0.879752,0.181794,-1.07031,0.165757,-1.09107,48,55,0.00696925,0.0171864,0.0146481,0.21655,0.561714,0.782273,0.831583,0.00235127,0.532118,0.0031636,15,371.719,17060.8,249.955
-324.2,0.986067,0.000906335,10,1023,0,334.283,0.252752,-0.675801,-1.28477,0.320779,0.172456,-0.427041,0.704372,-0.713719,-0.200162,0.0377377,-0.202517,-0.563812,-1.17162,48,55,0.00619507,0.0182077,0.0160928,0.522175,1.03192,0.747156,1.28458,0.00546669,0.854923,0.00295472,15,597.346,12391.6,227.803
