# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrCompRepr_OED3_Try2_model
# start_datetime = 2024-09-27 16:11:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 800
#     num_warmup = 400
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_OED3_Try2_1.data.R
# init = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_OED3_Try2_1.init.R
# random
#   seed = 996810282 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_OED3_Try2_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kpl,kbn,kun,kbp,kup,kunE,kbnE,ki,kr,NADH,NAD,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1,inits.2,inits.3
-474.706,0.999038,0.00101415,10,1023,0,479.132,0.361147,-0.661467,1.22981,-1.49675,-0.0743845,3.94643,1.75582,0.337986,0.0425971,0.578131,-1.63191,-0.214416,-1.16389,48,55,0.00649315,0.0184048,0.0726707,0.113231,0.914667,2.82455,1.78402,0.00993644,0.970234,0.00373829,15,225.703,14627.7,229.931
-474.706,0,1.65762,0,1,1,479.78,0.361147,-0.661467,1.22981,-1.49675,-0.0743845,3.94643,1.75582,0.337986,0.0425971,0.578131,-1.63191,-0.214416,-1.16389,48,55,0.00649315,0.0184048,0.0726707,0.113231,0.914667,2.82455,1.78402,0.00993644,0.970234,0.00373829,15,225.703,14627.7,229.931
-474.706,0,0.220275,0,1,1,481.994,0.361147,-0.661467,1.22981,-1.49675,-0.0743845,3.94643,1.75582,0.337986,0.0425971,0.578131,-1.63191,-0.214416,-1.16389,48,55,0.00649315,0.0184048,0.0726707,0.113231,0.914667,2.82455,1.78402,0.00993644,0.970234,0.00373829,15,225.703,14627.7,229.931
-474.706,5.04226e-271,0.0237886,1,1,0,486.435,0.361147,-0.661467,1.22981,-1.49675,-0.0743845,3.94643,1.75582,0.337986,0.0425971,0.578131,-1.63191,-0.214416,-1.16389,48,55,0.00649315,0.0184048,0.0726707,0.113231,0.914667,2.82455,1.78402,0.00993644,0.970234,0.00373829,15,225.703,14627.7,229.931
-477.008,0.98872,0.00072772,10,1023,0,483.303,0.307088,-0.621016,1.14032,-1.49652,-0.0391683,3.94687,1.82902,0.145954,0.0540975,0.571721,-1.6402,-0.269462,-1.17475,48,55,0.00634449,0.018961,0.0706573,0.113282,0.931395,2.82476,1.81878,0.00912031,0.975696,0.003729,15,223.549,14275.4,226.944
-474.118,0.999756,0.000608874,10,1023,0,484.601,0.423387,-0.639821,0.594445,-1.42166,-0.257771,3.76216,1.21282,0.547063,0.309717,0.815633,-1.37362,-0.723726,-1.18021,48,55,0.00666431,0.0187025,0.058375,0.130127,0.827559,2.73702,1.52609,0.010825,1.09712,0.00408267,15,292.858,11368.2,225.441
-471.541,0.98484,0.00146175,10,1023,0,480.224,0.218086,-0.664463,1.36414,-0.350409,1.34908,1.826,1.29359,1.52667,1.73544,-0.334366,-1.12422,0.0233607,-1.15538,48,55,0.00609974,0.0183636,0.0756932,0.371158,1.59081,1.81735,1.56446,0.0149884,1.77433,0.00241517,15,357.702,16149.5,232.271
-476.572,0.97023,0.00225512,10,1023,0,485.375,0.30143,-0.687001,0.272065,1.47426,0.838023,-0.886955,0.725235,-0.00099563,3.17888,-0.502408,-0.700351,0.804251,-1.09982,48,55,0.00632893,0.0180537,0.0511215,0.781709,1.34806,0.528696,1.29449,0.00849577,2.45997,0.00217151,15,467.909,21147.2,247.549
-474.819,0.802619,0.00347038,10,1023,0,483.577,0.280369,-0.651267,-1.16757,0.359749,1.40185,-0.0397211,1.39783,-0.475539,1.63249,-0.326711,0.433149,0.658321,-1.12292,48,55,0.00627101,0.0185451,0.0187296,0.530944,1.61588,0.931132,1.61397,0.00647896,1.72543,0.00242627,15,762.619,20213.3,241.196
-472.359,0.997954,0.00150095,10,1023,0,481.834,0.239023,-0.688305,-0.617587,1.01871,0.638986,0.203836,0.728665,-0.374473,0.379416,-0.00815353,-0.0595431,0.606052,-1.20599,48,55,0.00615731,0.0180358,0.0311043,0.67921,1.25352,1.04682,1.29612,0.00690849,1.13022,0.00288818,15,634.519,19878.7,218.351
-468.842,0.959056,0.00212994,10,1023,0,482.316,0.497919,-0.677585,-1.27474,-1.13808,-0.313906,0.52385,-0.514991,-0.71013,0.120329,0.531196,-0.683691,-1.56791,-1.0943,48,55,0.00686928,0.0181832,0.0163183,0.193933,0.800895,1.19883,0.705379,0.00548195,1.00716,0.00367023,15,472.24,5965.37,249.067
-469.783,0.204521,0.00598953,2,5,1,474.614,0.499485,-0.688912,-1.26695,-1.14085,-0.309642,0.523661,-0.512222,-0.702007,0.120165,0.524725,-0.679726,-1.56477,-1.09944,48,55,0.00687358,0.0180275,0.0164936,0.19331,0.80292,1.19874,0.706695,0.00551647,1.00708,0.00366085,15,473.271,5985.49,247.653
-466.775,0.994674,0.000988126,10,1023,0,474.088,0.326817,-0.652157,-0.311623,-0.488378,0.0210325,0.405174,-0.616638,-0.870504,0.609777,-0.00166115,-0.901396,-0.601495,-1.14568,48,55,0.00639875,0.0185328,0.0379885,0.340115,0.95999,1.14246,0.657097,0.00480036,1.23964,0.00289759,15,415.637,12150.4,234.937
-465.887,0.964463,0.00121395,10,1023,0,473.501,0.138583,-0.663683,-0.273029,-0.727113,-0.62803,0.573777,-0.473871,0.0330553,-0.390417,-0.493276,-0.964037,-1.24456,-1.19734,48,55,0.0058811,0.0183744,0.0388568,0.2864,0.651686,1.22254,0.724911,0.00864049,0.764552,0.00218475,15,399.35,8034.81,220.731
-469.18,0.724018,0.00213752,10,1023,0,475.595,0.286926,-0.664605,-0.0940965,-0.934219,-0.109113,0.858744,1.35543,-0.863794,0.465139,0.384766,-1.19651,1.41067,-1.17409,48,55,0.00628905,0.0183617,0.0428828,0.239801,0.898171,1.3579,1.59383,0.00482888,1.17094,0.00345791,15,338.908,25028.3,227.125
-473.654,0.991878,0.00142873,10,1023,0,477.98,0.258236,-0.709688,0.296958,-0.955187,-0.00325133,1.59607,1.74759,-0.770031,-0.310562,0.102871,-1.41922,1.50087,-1.18131,48,55,0.00621015,0.0177418,0.0516816,0.235083,0.948456,1.70813,1.78011,0.00522737,0.802483,0.00304916,15,281.004,25605.5,225.139
-471.332,0.992113,0.00294014,10,1023,0,480.775,0.0920935,-0.663574,0.473837,-0.71793,-0.239835,1.76211,1.96645,1.14883,0.360696,-0.520084,-0.657222,0.555758,-1.25803,48,55,0.00575326,0.0183759,0.0556613,0.288466,0.836079,1.787,1.88406,0.0133825,1.12133,0.00214588,15,479.122,19556.9,204.041
-464.34,0.979004,0.00297348,10,1023,0,474.361,0.401758,-0.685396,-0.81484,-0.376162,-0.554846,-0.577876,-0.0333223,-0.32934,0.538995,0.0726424,-0.663676,-1.01692,-1.11871,48,55,0.00660484,0.0180758,0.0266661,0.365364,0.686448,0.675509,0.934172,0.0071003,1.20602,0.00300533,15,477.444,9491.73,242.355
-464.644,0.985805,0.00263784,10,1023,0,468.881,0.279621,-0.658525,-0.737156,-0.479896,-0.504281,-0.434004,0.819465,0.11733,0.448623,0.40616,-0.75426,-1.02809,-1.18218,48,55,0.00626896,0.0184453,0.028414,0.342023,0.710466,0.743848,1.33925,0.00899865,1.1631,0.00348893,15,453.892,9420.22,224.901
-464.644,0.00395295,0.00660611,1,3,1,471.061,0.279621,-0.658525,-0.737156,-0.479896,-0.504281,-0.434004,0.819465,0.11733,0.448623,0.40616,-0.75426,-1.02809,-1.18218,48,55,0.00626896,0.0184453,0.028414,0.342023,0.710466,0.743848,1.33925,0.00899865,1.1631,0.00348893,15,453.892,9420.22,224.901
-469.251,0.997558,0.000556528,10,1023,0,472.742,0.228273,-0.649557,-0.648945,-0.206841,-0.415321,-0.378292,0.808549,0.265262,0.510859,0.577872,-0.576539,-0.979915,-1.21913,48,55,0.00612775,0.0185686,0.0303987,0.403461,0.752722,0.770311,1.33406,0.00962736,1.19266,0.00373791,15,500.1,9728.55,214.739
-469.778,0.991588,0.00153091,10,1023,0,475.87,0.222438,-0.685392,-0.650872,-0.182804,-0.290501,-0.242123,0.813288,0.265954,0.304085,0.590701,-0.635584,-1.04705,-1.22582,48,55,0.0061117,0.0180759,0.0303554,0.408869,0.812012,0.834992,1.33631,0.00963031,1.09444,0.00375652,15,484.748,9298.9,212.9
-470.833,0.993988,0.00113516,9,1023,0,474.207,0.423191,-0.680925,-0.50169,-0.720887,-0.178121,-0.308722,1.19727,0.301811,0.525787,-0.136851,-1.27146,-0.976068,-1.07104,48,55,0.00666378,0.0181373,0.033712,0.2878,0.865393,0.803357,1.5187,0.0097827,1.19975,0.00270157,15,319.421,9753.16,255.464
-467.228,0.997986,0.00212957,10,1023,0,476.34,0.258489,-0.67217,0.336814,-0.730535,0.379095,0.814535,0.137003,-0.0931131,0.230168,-0.225038,-1.41774,-0.882503,-1.14277,48,55,0.00621085,0.0182577,0.0525783,0.28563,1.13007,1.3369,1.01508,0.00810427,1.05933,0.0025737,15,281.387,10352,235.738
-470.533,0.996884,0.00404928,9,511,0,475.296,0.345692,-0.642163,-1.03778,-0.915786,0.367704,1.26013,-0.156961,-1.51821,-0.194321,-0.140785,-0.950061,0.924737,-1.10782,48,55,0.00645065,0.0186703,0.02165,0.243948,1.12466,1.54856,0.875444,0.00204759,0.857698,0.00269586,15,402.984,21918.3,245.349
-473.329,0.414401,0.0050814,7,127,0,482.519,0.120078,-0.627836,-0.118361,-0.569581,0.212261,1.29988,0.291467,-1.20575,-0.0998358,0.401977,-1.05901,1.03148,-1.25894,48,55,0.00583022,0.0188673,0.0423369,0.321844,1.05082,1.56744,1.08845,0.00337558,0.902578,0.00348287,15,374.657,22601.5,203.792
-470.096,0.963196,0.00259462,7,255,0,476.624,0.336832,-0.654773,-0.183769,-0.83655,0.427165,1.09887,0.648604,-1.12136,0.145651,-0.105131,-1.32535,1.05864,-1.12626,48,55,0.00642629,0.0184969,0.0408652,0.261776,1.1529,1.47196,1.25809,0.00373421,1.01918,0.00274756,15,305.41,22775.3,240.28
-467.898,0.883174,0.00385737,9,1023,0,473.512,0.202576,-0.677149,0.0255834,0.148508,0.292424,0.385983,-0.249755,-0.43064,0.978522,-0.774283,-0.506868,0.621846,-1.14623,48,55,0.00605708,0.0181892,0.0455756,0.483414,1.0889,1.13334,0.831367,0.00666978,1.4148,0.00177729,15,518.214,19979.8,234.787
-466.862,0.995137,0.0040627,9,511,0,473.977,0.246307,-0.63455,0.846787,-1.19155,-0.552431,0.890721,1.09053,-0.239799,0.50356,0.496961,-1.43867,-0.0356252,-1.20104,48,55,0.00617734,0.0187749,0.0640527,0.181901,0.687595,1.37309,1.468,0.00748086,1.18919,0.00362059,15,275.945,15772,219.715
-466.862,0.0304977,0.00644389,2,4,1,470.918,0.246307,-0.63455,0.846787,-1.19155,-0.552431,0.890721,1.09053,-0.239799,0.50356,0.496961,-1.43867,-0.0356252,-1.20104,48,55,0.00617734,0.0187749,0.0640527,0.181901,0.687595,1.37309,1.468,0.00748086,1.18919,0.00362059,15,275.945,15772,219.715
-471.973,0.998035,0.000421497,10,1023,0,475.394,0.130558,-0.636579,0.940711,-1.30101,-0.748033,0.806454,1.153,-0.240275,0.544656,0.301656,-1.38981,0.0149486,-1.24732,48,55,0.00585903,0.018747,0.066166,0.157272,0.594684,1.33307,1.49767,0.00747883,1.20871,0.0033374,15,288.651,16095.7,206.986
-472.053,0.999353,0.000958303,9,1023,0,478.709,0.252393,-0.681537,0.93205,-1.35932,-0.764868,0.804588,1.13545,-0.16528,0.42079,0.310835,-1.54105,0.00534326,-1.15963,48,55,0.00619408,0.0181289,0.0659711,0.144154,0.586688,1.33218,1.48934,0.00779756,1.14988,0.00335071,15,249.326,16034.2,231.103
-471.625,0.998476,0.00151024,10,1023,0,480.626,0.137502,-0.618529,0.27201,0.790531,-0.578539,0.244246,0.62205,0.135454,-0.164102,-0.957716,-0.253694,1.68191,-1.19809,48,55,0.00587813,0.0189952,0.0511202,0.627869,0.675194,1.06602,1.24547,0.00907568,0.872052,0.00151131,15,584.04,26764.2,220.524
-467.399,0.998173,0.00221486,10,1023,0,475.656,0.194041,-0.638612,-0.617157,0.403487,-0.543517,0.171213,0.374669,-0.0619951,0.332002,-0.820186,0.897303,1.32275,-1.18141,48,55,0.00603361,0.0187191,0.031114,0.540785,0.691829,1.03133,1.12797,0.00823652,1.1077,0.00171073,15,883.299,24465.6,225.112
-466.391,0.549531,0.00479044,8,464,1,472.739,0.111212,-0.65427,-0.50531,0.149738,0.29981,1.3347,0.462469,-0.63922,-0.0653131,-0.761156,0.0211592,1.6751,-1.21867,48,55,0.00580583,0.0185038,0.0336305,0.483691,1.09241,1.58398,1.16967,0.00578331,0.918976,0.00179632,15,655.501,26720.6,214.866
-472.088,0.980718,0.00264582,10,1023,0,476.533,0.146705,-0.633619,-0.301448,-0.67135,0.85441,0.912864,0.400475,-1.03197,1.74996,0.607807,-0.766465,1.04813,-1.22216,48,55,0.00590344,0.0187877,0.0382174,0.298946,1.35584,1.38361,1.14023,0.00411411,1.78123,0.00378132,15,450.719,22708.1,213.906
-470.018,0.996832,0.00375716,9,511,0,476.549,0.318898,-0.646904,-0.711061,-0.911535,0.416481,1.50818,1.21852,-0.756642,1.57453,1.00386,-0.3618,0.800471,-1.19488,48,55,0.00637697,0.0186051,0.0290011,0.244905,1.14783,1.66639,1.5288,0.00528427,1.6979,0.0043556,15,555.932,21123,221.407
-470.018,0.000133283,0.00560101,2,5,1,475.609,0.318898,-0.646904,-0.711061,-0.911535,0.416481,1.50818,1.21852,-0.756642,1.57453,1.00386,-0.3618,0.800471,-1.19488,48,55,0.00637697,0.0186051,0.0290011,0.244905,1.14783,1.66639,1.5288,0.00528427,1.6979,0.0043556,15,555.932,21123,221.407
-472.67,0.999343,0.000677793,10,1023,0,476.493,0.285776,-0.617738,-0.984939,-1.02565,0.520851,1.62981,1.3251,-0.873319,1.29779,0.847606,-0.271976,0.595309,-1.19774,48,55,0.00628588,0.0190061,0.0228389,0.219228,1.1974,1.72416,1.57942,0.00478839,1.56645,0.00412903,15,579.286,19810,220.62
-468.009,0.956867,0.000956546,10,1023,0,477.977,0.289498,-0.672432,-0.155784,-0.835729,0.614113,1.11202,1.21635,-0.634652,1.00857,0.552591,-1.09982,0.526364,-1.17561,48,55,0.00629612,0.0182541,0.0414949,0.261961,1.2417,1.47821,1.52777,0.00580273,1.42907,0.00370126,15,364.047,19368.7,226.706
-471.21,0.979566,0.00140223,10,1023,0,477.005,0.502711,-0.64408,1.68318,-1.56044,-1.40516,0.114141,1.27141,-0.1939,0.846697,0.73714,-1.57251,0.602727,-1.14096,48,55,0.00688246,0.0186439,0.0828716,0.0989017,0.282547,1.00422,1.55392,0.00767592,1.35218,0.00396885,15,241.147,19857.5,236.235
-465.717,0.973227,0.00218448,10,1023,0,473.528,0.263446,-0.68179,-0.441421,-0.227064,0.0716776,0.131035,0.119546,-0.375867,1.30107,-0.137318,-0.361945,0.106253,-1.15477,48,55,0.00622448,0.0181254,0.035068,0.398911,0.984047,1.01224,1.00678,0.00690256,1.56801,0.00270089,15,555.894,16680,232.437
-467.444,0.999111,0.00171248,10,1023,0,472.429,0.344418,-0.701708,-1.09651,-0.511053,-0.22668,-0.508616,-0.522115,-1.32627,0.47523,0.494484,-0.596841,-0.579821,-1.16433,48,55,0.00644715,0.0178515,0.0203285,0.335013,0.842327,0.708408,0.701995,0.00286336,1.17573,0.003617,15,494.821,12289.1,229.809
-467.336,0.999641,0.00452726,9,511,0,472.228,0.103543,-0.652081,0.443554,-0.691686,-0.384143,1.39831,0.396408,0.939499,0.0665144,-0.649371,-0.824721,-0.57893,-1.23741,48,55,0.00578474,0.0185339,0.05498,0.294371,0.767532,1.6142,1.13829,0.0124929,0.981594,0.00195841,15,435.573,12294.9,209.713
-465.678,0.797738,0.00387888,10,1023,0,471.035,0.238694,-0.675477,-0.769011,-0.142308,-0.266276,-0.187658,-0.0765107,-0.876017,0.985785,0.0751729,0.096869,0.405853,-1.19832,48,55,0.00615641,0.0182122,0.0276972,0.417981,0.823519,0.860862,0.913657,0.00477693,1.41825,0.003009,15,675.186,18597.5,220.461
-466.113,0.300623,0.00673294,1,3,1,470.562,0.240581,-0.680978,-0.775128,-0.143922,-0.268306,-0.188657,-0.0857221,-0.864826,0.982386,0.0688882,0.0971937,0.414864,-1.20389,48,55,0.0061616,0.0181366,0.0275596,0.417618,0.822554,0.860388,0.909282,0.00482449,1.41663,0.00299989,15,675.27,18655.1,218.93
-469.894,0.997953,0.0014352,10,1023,0,477.692,0.0616346,-0.646924,0.0451292,0.211218,0.2584,1.13661,-1.30867,0.118408,0.792168,-0.809999,0.25521,-1.27816,-1.23869,48,55,0.0056695,0.0186048,0.0460154,0.497524,1.07274,1.48989,0.328383,0.00900323,1.32628,0.0017255,15,716.355,7819.76,209.359
-468.066,0.999588,0.00188909,10,1023,0,474.224,0.263702,-0.660449,-0.724509,-0.692901,-1.07907,-0.0995206,-0.258291,-0.332633,0.210346,-0.738339,0.0285603,-0.0988821,-1.12621,48,55,0.00622518,0.0184188,0.0286985,0.294097,0.437442,0.902728,0.827312,0.00708631,1.04991,0.00182941,15,657.426,15367.2,240.292
-466.944,0.540697,0.00343799,10,1023,0,474.821,0.248802,-0.677014,-0.765038,0.582817,-0.215366,-0.7458,-0.716836,-0.995214,1.34589,-0.00423193,0.253619,-0.25612,-1.1964,48,55,0.0061842,0.0181911,0.0277866,0.581134,0.847701,0.595745,0.609503,0.00427034,1.5893,0.00289386,15,715.941,14360.8,220.991
-467.194,0.995889,0.00174516,10,1023,0,471.346,0.241346,-0.668413,-0.269751,0.930295,-0.970836,-1.2841,0.751521,-0.389382,1.06678,-0.356569,-0.381886,0.833042,-1.16431,48,55,0.0061637,0.0183093,0.0389306,0.659316,0.488853,0.340055,1.30697,0.00684513,1.45672,0.00238297,15,550.71,21331.5,229.814
-472.957,0.999937,0.00209074,10,1023,0,476.834,-0.0832876,-0.63866,0.638994,-0.0609719,-0.113833,1.30584,-0.386509,-0.796033,0.54744,-0.653282,-0.119381,1.90003,-1.31954,48,55,0.00527096,0.0187184,0.0593774,0.436281,0.895929,1.57027,0.766408,0.00511686,1.21003,0.00195274,15,618.961,28160.2,187.127
-471.517,0.826469,0.00326937,10,1023,0,478.333,0.128842,-0.659833,-0.857532,-0.510005,-0.464284,-0.352684,0.961131,0.577262,0.75644,0.877974,-0.302485,-1.25998,-1.26588,48,55,0.00585431,0.0184273,0.0257055,0.335249,0.729465,0.782475,1.40654,0.0109534,1.30931,0.00417306,15,571.354,7936.14,201.882
-469.817,0.999912,0.00310777,10,1023,0,474.173,0.339165,-0.685161,-0.380956,0.351599,0.473584,0.434147,0.981207,0.277429,-0.0310018,-0.775414,-0.841173,0.0151738,-1.08179,48,55,0.0064327,0.018079,0.0364285,0.52911,1.17495,1.15622,1.41607,0.00967907,0.935274,0.00177565,15,431.295,16097.1,252.507
-469.24,0.0831849,0.00575764,5,57,0,473.823,0.346157,-0.687393,-0.28852,0.31609,0.421598,0.501725,0.939857,0.270929,-0.00859536,-0.749535,-0.816353,0.0574913,-1.1041,48,55,0.00645193,0.0180483,0.0385083,0.52112,1.15026,1.18832,1.39643,0.00965145,0.945917,0.00181317,15,437.748,16367.9,246.373
-470.164,0.999831,0.000686205,10,1023,0,475.754,0.304955,-0.70381,0.192265,0.779416,0.439458,-0.421834,1.20486,-0.0655012,0.284325,0.0447965,-1.22262,-0.00460835,-1.15799,48,55,0.00633863,0.0178226,0.049326,0.625369,1.15874,0.749629,1.52231,0.00822162,1.08505,0.00296495,15,332.12,15970.5,231.553
-469.326,0.999121,0.000996569,10,1023,0,475.652,0.0933204,-0.664766,0.173856,0.968854,0.0741448,-0.740446,1.00698,-0.295142,0.199042,-0.411879,-1.18009,0.0928682,-1.19433,48,55,0.00575663,0.0183595,0.0489118,0.667992,0.985219,0.598288,1.42832,0.00724565,1.04454,0.00230278,15,343.177,16594.4,221.56
-472.541,0.999776,0.00190271,10,1023,0,477.231,0.321427,-0.637232,0.213068,-1.27248,-1.3385,0.433609,-1.08679,-0.77457,1.77062,0.0403514,-0.0707951,0.227891,-1.19452,48,55,0.00638392,0.0187381,0.049794,0.163692,0.314213,1.15596,0.433776,0.00520808,1.79105,0.00295851,15,631.593,17458.5,221.506
-466.884,0.997607,0.001685,10,1023,0,477.799,0.112024,-0.679014,-0.522259,0.0657661,0.801395,0.408632,0.346989,0.275229,1.48119,-0.190822,0.0334698,-0.501163,-1.23265,48,55,0.00580807,0.0181636,0.0332492,0.464797,1.33066,1.1441,1.11482,0.00966972,1.65356,0.00262331,15,658.702,12792.6,211.021
-467.545,0.998355,0.00178327,10,1023,0,473.009,0.0368598,-0.647692,-0.447852,-0.106941,0.29347,0.513784,-0.322437,-0.43239,2.02567,-0.299084,0.656023,0.304428,-1.25128,48,55,0.00560136,0.0185942,0.0349233,0.425938,1.0894,1.19405,0.796843,0.00666234,1.91219,0.00246633,15,820.566,17948.3,205.899
-467.545,5.42718e-06,0.00540781,2,6,1,475.737,0.0368598,-0.647692,-0.447852,-0.106941,0.29347,0.513784,-0.322437,-0.43239,2.02567,-0.299084,0.656023,0.304428,-1.25128,48,55,0.00560136,0.0185942,0.0349233,0.425938,1.0894,1.19405,0.796843,0.00666234,1.91219,0.00246633,15,820.566,17948.3,205.899
-470.341,0.995831,0.00108313,9,1023,0,477.968,0.388145,-0.683657,-0.672079,0.0135091,0.533348,0.599811,-0.612235,-0.723183,2.09796,-0.265958,0.539141,0.504438,-1.10394,48,55,0.0065674,0.0180997,0.0298782,0.45304,1.20334,1.23491,0.659188,0.00542647,1.94653,0.00251436,15,790.177,19228.4,246.418
-468.696,0.999909,0.000673539,10,1023,0,475.256,0.0886165,-0.655132,-0.624136,0.0447531,0.702694,0.506929,-0.522262,-0.799957,1.77013,-0.210986,0.483837,0.0380218,-1.23839,48,55,0.0057437,0.0184919,0.0309569,0.460069,1.28378,1.19079,0.701925,0.00510018,1.79081,0.00259407,15,775.798,16243.3,209.443
-468.05,0.999984,0.000975337,10,1023,0,471.776,0.0924446,-0.63633,-0.97246,-0.204673,0.0884384,0.128044,-0.692613,-0.947156,1.26194,-0.315936,0.713673,-0.262722,-1.21746,48,55,0.00575422,0.0187505,0.0231197,0.403949,0.992008,1.01082,0.621009,0.00447459,1.54942,0.00244189,15,835.555,14318.6,215.199
-467.962,0.999411,0.00128915,10,1023,0,473.245,0.333224,-0.691058,-0.814287,0.447529,1.14665,0.841411,-0.797171,-0.313081,0.401592,-0.496513,-0.0272768,-1.0804,-1.13461,48,55,0.00641637,0.0179979,0.0266785,0.550694,1.49466,1.34967,0.571344,0.00716941,1.14076,0.00218006,15,642.908,9085.43,237.983
-469.95,0.991898,0.00290681,10,1023,0,475.633,0.192304,-0.668625,-0.701925,-0.152032,-0.188221,-0.16583,2.2865,-0.782577,0.213641,-0.264637,-0.595257,2.431,-1.17854,48,55,0.00602884,0.0183064,0.0292067,0.415793,0.860595,0.871231,2.03609,0.00517405,1.05148,0.00251628,15,495.233,31558.4,225.9
-469.95,4.51882e-05,0.00569429,2,5,1,475.593,0.192304,-0.668625,-0.701925,-0.152032,-0.188221,-0.16583,2.2865,-0.782577,0.213641,-0.264637,-0.595257,2.431,-1.17854,48,55,0.00602884,0.0183064,0.0292067,0.415793,0.860595,0.871231,2.03609,0.00517405,1.05148,0.00251628,15,495.233,31558.4,225.9
-465.865,0.999638,0.000703857,10,1023,0,473.481,0.198846,-0.659467,-0.739229,-0.20761,-0.353216,-0.0457598,1.10152,-0.856074,0.449963,-0.119288,-0.183963,1.68429,-1.19936,48,55,0.00604683,0.0184323,0.0283673,0.403288,0.782222,0.928264,1.47322,0.00486169,1.16373,0.00272703,15,602.17,26779.5,220.176
-468.432,0.998964,0.000910879,10,1023,0,473.468,0.247827,-0.689802,-0.958407,-0.0726564,-0.272275,-0.290173,1.13993,-1.09682,0.307431,-0.0258125,-0.0875966,2.16207,-1.19694,48,55,0.00618152,0.0180152,0.0234358,0.433652,0.820669,0.812168,1.49147,0.00383851,1.09603,0.00286257,15,627.225,29837.2,220.842
-467.686,0.998779,0.00142492,10,1023,0,475.411,0.215541,-0.678975,-0.858313,-0.0247265,1.73379,1.62898,0.545009,-0.38586,1.27555,0.016216,0.337994,0.381853,-1.18513,48,55,0.00609274,0.0181641,0.025688,0.444437,1.77355,1.72377,1.20888,0.0068601,1.55589,0.00292351,15,737.878,18443.9,224.089
-471.597,0.999888,0.00120334,10,1023,0,480.987,-0.0142255,-0.658077,-0.586012,-0.42311,0.889231,1.78555,-0.20137,-0.873397,1.65418,-0.324588,0.677216,1.27437,-1.26488,48,55,0.00546088,0.0184514,0.0318147,0.3548,1.37238,1.79813,0.854349,0.00478806,1.73574,0.00242935,15,826.076,24156,202.157
-469.187,0.771275,0.003523,10,1023,0,479.787,0.0316782,-0.670462,-0.590089,0.0987265,-0.164168,-0.254185,-0.267233,0.605187,0.991482,-0.089148,0.162451,-1.34021,-1.27599,48,55,0.00558711,0.0182812,0.031723,0.472213,0.87202,0.829262,0.823064,0.011072,1.42095,0.00277074,15,692.237,7422.66,199.103
-466.74,0.880707,0.00257997,10,1023,0,474.962,0.480725,-0.667491,-0.626359,-1.10712,-0.858916,-0.410822,0.624163,0.508731,0.402674,0.838829,-1.25663,-1.56014,-1.10618,48,55,0.00682199,0.018322,0.0309069,0.200899,0.542015,0.754859,1.24648,0.0106621,1.14127,0.0041163,15,323.275,6015.09,245.8
-469.185,0.942084,0.00320446,10,1023,0,472.67,0.326911,-0.663423,0.51745,-0.804206,-0.323484,1.64282,0.0035418,-0.756627,0.0683818,-0.42427,-1.11882,1.23107,-1.13479,48,55,0.00639901,0.0183779,0.0566426,0.269054,0.796345,1.73034,0.951682,0.00528434,0.982481,0.00228481,15,359.107,23878.9,237.933
-468.827,0.932305,0.00364285,10,1023,0,474.444,0.0695785,-0.620301,0.277213,-0.824788,-0.320244,1.50083,1.15347,-0.249339,0.557781,-0.367979,-0.654202,1.35272,-1.25926,48,55,0.00569134,0.0189709,0.0512373,0.264423,0.797884,1.6629,1.4979,0.00744031,1.21495,0.00236643,15,479.908,24657.4,203.703
