# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrCompRepr_OED3_Try2_model
# start_datetime = 2024-09-27 16:11:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 800
#     num_warmup = 400
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 9
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_OED3_Try2_9.data.R
# init = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_OED3_Try2_9.init.R
# random
#   seed = 996810281 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_OED3_Try2_samples_9.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kpl,kbn,kun,kbp,kup,kunE,kbnE,ki,kr,NADH,NAD,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1,inits.2,inits.3
-472.826,0.993395,0.00215031,10,1023,0,478.027,0.263361,-0.68086,0.848824,-0.85429,0.464403,2.46238,0.688654,2.24942,0.60988,-0.284346,-1.20294,-1.01415,-1.15538,48,55,0.00622424,0.0181382,0.0640985,0.257785,1.17059,2.11963,1.27711,0.01806,1.23969,0.0024877,15,337.236,9509.44,232.269
-472.826,0,1.13986,0,1,1,477.371,0.263361,-0.68086,0.848824,-0.85429,0.464403,2.46238,0.688654,2.24942,0.60988,-0.284346,-1.20294,-1.01415,-1.15538,48,55,0.00622424,0.0181382,0.0640985,0.257785,1.17059,2.11963,1.27711,0.01806,1.23969,0.0024877,15,337.236,9509.44,232.269
-472.826,0,0.272822,0,1,1,476.358,0.263361,-0.68086,0.848824,-0.85429,0.464403,2.46238,0.688654,2.24942,0.60988,-0.284346,-1.20294,-1.01415,-1.15538,48,55,0.00622424,0.0181382,0.0640985,0.257785,1.17059,2.11963,1.27711,0.01806,1.23969,0.0024877,15,337.236,9509.44,232.269
-472.613,0.189062,0.00905901,2,6,1,479.837,0.276456,-0.685088,0.860605,-0.853903,0.465734,2.487,0.683781,2.2391,0.613022,-0.291974,-1.19854,-1.01101,-1.15392,48,55,0.00626025,0.01808,0.0643636,0.257872,1.17122,2.13133,1.2748,0.0180162,1.24119,0.00247664,15,338.38,9529.51,232.673
-468.393,0.969975,0.00256561,9,831,0,485.388,0.204929,-0.692231,-0.19002,-0.0301477,-0.309432,0.401292,-0.448816,0.713653,1.27365,-0.612141,0.353716,-0.45883,-1.17088,48,55,0.00606355,0.0179818,0.0407245,0.443217,0.80302,1.14061,0.736813,0.011533,1.55499,0.00201239,15,741.966,13063.5,228.009
-467.2,0.998534,0.0025345,10,1023,0,471.86,0.180659,-0.661454,-0.419374,-0.358347,0.502894,0.934868,-0.175307,-0.0780321,1.55081,-0.229842,-0.0055796,-0.271136,-1.20283,48,55,0.00599681,0.018405,0.0355641,0.369372,1.18887,1.39406,0.866729,0.00816836,1.68664,0.00256673,15,648.549,14264.7,219.222
-472.188,0.99876,0.00232427,10,1023,0,475.127,0.311478,-0.64446,0.919689,-0.290304,0.0463989,1.23128,1.27066,1.57819,1.28877,-0.408265,-0.707437,0.415783,-1.15957,48,55,0.00635657,0.0186387,0.065693,0.384682,0.972039,1.53486,1.55356,0.0152073,1.56217,0.00230802,15,466.066,18661,231.119
-470.825,0.715626,0.00540961,7,145,1,478.896,0.00206119,-0.656124,1.31675,-0.0410281,0.236197,0.691067,1.19377,1.21885,1.11219,-0.781981,-0.892614,0.607533,-1.22559,48,55,0.00550567,0.0184783,0.0746269,0.440769,1.06219,1.27826,1.51704,0.0136801,1.47829,0.00176613,15,417.92,19888.2,212.963
-474.443,0.900076,0.00282932,10,1023,0,480.081,0.262751,-0.671514,1.11745,-0.731264,-0.79922,1.35163,0.257636,1.98268,1.01523,-0.594533,-0.444227,-0.196498,-1.18178,48,55,0.00622257,0.0182667,0.0701426,0.285466,0.570371,1.59202,1.07238,0.0169264,1.43223,0.00203793,15,534.501,14742.4,225.01
-470.741,0.9833,0.0016484,10,1023,0,482.3,0.230428,-0.670896,0.932877,-0.441074,0.0373219,0.701778,0.599909,2.71351,1.90803,-0.0523074,-0.808699,-1.0218,-1.19776,48,55,0.00613368,0.0182752,0.0659897,0.350758,0.967728,1.28334,1.23496,0.0200324,1.85632,0.00282415,15,439.738,9460.49,220.615
