# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrCompRepr_Rand2_Try1_model
# start_datetime = 2024-08-20 17:34:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_Rand2_Try1_1.data.R
# init = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_Rand2_Try1_1.init.R
# random
#   seed = 2013557000 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_Rand2_Try1_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kpl,kbn,kun,kbp,kup,kunE,kbnE,ki,kr,NADH,NAD,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1,inits.2,inits.3
-291.474,0.798723,0.00512848,9,1023,0,294.231,0.421106,-0.655279,0.492706,-0.371836,0.161296,-0.868897,-1.27663,0.0104764,0.830721,-1.25686,-0.902423,0.954153,-0.606478,48,55,0.00665804,0.0184899,0.0560859,0.366337,1.02662,0.537274,0.343602,0.00854452,1.34459,0.00107756,15,415.37,22106.6,383.219
-291.474,0,1.1656,0,1,1,298.089,0.421106,-0.655279,0.492706,-0.371836,0.161296,-0.868897,-1.27663,0.0104764,0.830721,-1.25686,-0.902423,0.954153,-0.606478,48,55,0.00665804,0.0184899,0.0560859,0.366337,1.02662,0.537274,0.343602,0.00854452,1.34459,0.00107756,15,415.37,22106.6,383.219
-291.474,0,0.0690299,0,1,1,297.466,0.421106,-0.655279,0.492706,-0.371836,0.161296,-0.868897,-1.27663,0.0104764,0.830721,-1.25686,-0.902423,0.954153,-0.606478,48,55,0.00665804,0.0184899,0.0560859,0.366337,1.02662,0.537274,0.343602,0.00854452,1.34459,0.00107756,15,415.37,22106.6,383.219
-291.176,0.182718,0.0139284,3,11,1,295.407,0.419431,-0.652144,0.507396,-0.406047,0.172199,-0.872382,-1.28768,-0.0122387,0.801693,-1.21463,-0.925319,0.955653,-0.573776,48,55,0.00665344,0.018533,0.0564164,0.358639,1.03179,0.535619,0.33835,0.00844799,1.3308,0.00113879,15,409.417,22116.2,392.212
-290.923,0.999723,0.000967283,10,1023,0,294.592,0.635795,-0.655476,0.778621,-0.49492,0.428747,-0.51729,-0.822105,-0.168699,1.65003,-1.28549,-0.953892,0.400062,-0.947882,48,55,0.00724844,0.0184872,0.062519,0.338643,1.15366,0.704287,0.5595,0.00778303,1.73377,0.00103605,15,401.988,18560.4,289.332
-291.615,0.998852,0.00145226,10,1023,0,297.933,0.484867,-0.684397,0.502296,-0.511864,1.02719,-0.84482,-0.9406,0.532615,1.32026,-1.32779,-0.699244,-0.163502,-0.949099,48,55,0.00683338,0.0180895,0.0563017,0.334831,1.43791,0.548711,0.503215,0.0107636,1.57712,0.000974707,15,468.197,14953.6,288.998
-292.757,0.997415,0.00145316,10,1023,0,301.682,0.401612,-0.658229,0.226762,-0.662056,1.04094,-1.05023,-1.28863,0.331287,1.41335,-1.43138,-0.579877,-0.0486895,-0.786478,48,55,0.00660443,0.0184493,0.0501022,0.301037,1.44445,0.451141,0.3379,0.00990797,1.62134,0.000824495,15,499.232,15688.4,333.719
-291.652,0.999034,0.00151962,10,1023,0,296.941,0.421297,-0.653975,0.153154,-0.583445,0.587188,-0.803809,-1.31531,0.420927,1.06668,-1.19036,-0.739218,-0.138521,-0.659541,48,55,0.00665857,0.0185078,0.048446,0.318725,1.22891,0.568191,0.32523,0.0102889,1.45668,0.00117398,15,457.803,15113.5,368.626
-293.001,0.997848,0.00234511,10,1023,0,299.019,1.06872,-0.658426,1.48679,1.02478,-0.127988,-0.0484578,0.648041,0.00130299,0.341944,0.176909,-0.665446,1.22703,-1.25542,48,55,0.00843899,0.0184466,0.0784529,0.680576,0.889206,0.926983,1.25782,0.00850554,1.11242,0.00315652,15,476.984,23853,204.759
-293.328,0.960158,0.00636258,9,511,0,300.598,0.936155,-0.703086,1.60995,0.313903,-0.257306,0.170641,0.0276807,-0.326859,0.438418,-1.01846,-0.991158,2.36494,-1.05026,48,55,0.00807443,0.0178326,0.0812238,0.520628,0.82778,1.03105,0.963148,0.00711085,1.15825,0.00142324,15,392.299,31135.6,261.177
-290.815,0.992986,0.00450283,10,1023,0,298.092,0.710953,-0.649807,-1.31472,-0.953258,-0.302852,-0.965563,-1.06226,-0.919235,0.522626,0.175962,-0.219504,-0.630661,-0.771192,48,55,0.00745512,0.0185651,0.0154188,0.235517,0.806145,0.491357,0.445428,0.00459325,1.19825,0.00315514,15,592.929,11963.8,337.922
-290.815,1.42961e-14,0.0157791,1,2,1,295.083,0.710953,-0.649807,-1.31472,-0.953258,-0.302852,-0.965563,-1.06226,-0.919235,0.522626,0.175962,-0.219504,-0.630661,-0.771192,48,55,0.00745512,0.0185651,0.0154188,0.235517,0.806145,0.491357,0.445428,0.00459325,1.19825,0.00315514,15,592.929,11963.8,337.922
-290.179,0.999531,0.000756022,10,1023,0,296.113,0.691052,-0.649317,-1.13151,-0.807082,0.126221,-0.913195,-0.791895,-0.994815,-0.0726934,-0.00506473,-0.118876,-0.420456,-1.08511,48,55,0.00740039,0.0185719,0.0195411,0.268407,1.00996,0.516232,0.57385,0.00427204,0.915471,0.00289266,15,619.092,13309.1,251.593
-291.484,0.993064,0.00103726,10,1023,0,298.624,0.630944,-0.653781,-1.83621,-0.388696,0.155385,-0.678885,-1.13306,-1.71173,-0.62119,0.496183,0.562574,-0.0438627,-0.564145,48,55,0.0072351,0.0185105,0.00368524,0.362543,1.02381,0.62753,0.411795,0.00122514,0.654935,0.00361947,15,796.269,15719.3,394.86
-292.172,0.7425,0.00163811,10,1023,0,299.014,1.8103,-0.655098,-0.932549,0.520264,0.3392,0.489008,-0.376425,-0.626637,-0.807793,0.795287,-0.67538,-0.207666,-0.812831,48,55,0.0104783,0.0184924,0.0240177,0.567059,1.11112,1.18228,0.771198,0.00583679,0.566298,0.00405317,15,474.401,14670.9,326.471
-293.001,0.995564,0.00213185,10,1023,0,299.721,1.90743,-0.700237,-0.683144,-1.48312,0.958772,0.397985,-0.304475,-0.241441,0.971636,0.897855,-0.225413,-0.899368,-1.12106,48,55,0.0107454,0.0178717,0.0296293,0.116298,1.40542,1.13904,0.805374,0.00747387,1.41153,0.00420189,15,591.393,10244,241.708
-294.959,0.987742,0.00298231,10,1023,0,299.471,-0.879328,-0.615466,0.199822,-0.885005,1.46397,-0.465257,-0.841637,-0.981553,0.694757,1.64944,-0.740474,-0.231171,-1.45812,48,55,0.00308185,0.0190373,0.049496,0.250874,1.64538,0.729003,0.550222,0.0043284,1.28001,0.00529168,15,457.477,14520.5,149.017
-297.596,0.984044,0.00539539,9,511,0,302.974,2.30243,-0.679408,0.426395,-2.16904,0.0404556,0.897745,-0.0103651,0.26998,1.25205,2.21784,-0.826499,-1.04849,-1.22785,48,55,0.0118317,0.0181581,0.0545939,-0.0380333,0.969216,1.37643,0.945077,0.00964742,1.54472,0.00611586,15,435.11,9289.66,212.34
