# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrCompRepr_Rand3_Try1_model
# start_datetime = 2024-08-30 14:27:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 3
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_Rand3_Try1_3.data.R
# init = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_Rand3_Try1_3.init.R
# random
#   seed = 2866302896 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompRepr_Rand3_Try1_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kpl,kbn,kun,kbp,kup,kunE,kbnE,ki,kr,NADH,NAD,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1,inits.2,inits.3
-442.187,0.16468,0.00812425,8,255,0,447.921,2.61559,-0.675415,2.84492,0.747241,2.76384,-1.81531,0.141359,2.36951,0.269013,-1.84891,0.792894,2.03505,-1.30292,48,55,0.0126929,0.018213,0.109011,0.618129,2.26282,0.0877275,1.01715,0.0185704,1.07778,0.000219074,15,856.152,29024.3,191.696
-442.187,0,0.163617,0,1,1,446.453,2.61559,-0.675415,2.84492,0.747241,2.76384,-1.81531,0.141359,2.36951,0.269013,-1.84891,0.792894,2.03505,-1.30292,48,55,0.0126929,0.018213,0.109011,0.618129,2.26282,0.0877275,1.01715,0.0185704,1.07778,0.000219074,15,856.152,29024.3,191.696
-442.187,7.04973e-41,0.0200516,1,2,1,446.551,2.61559,-0.675415,2.84492,0.747241,2.76384,-1.81531,0.141359,2.36951,0.269013,-1.84891,0.792894,2.03505,-1.30292,48,55,0.0126929,0.018213,0.109011,0.618129,2.26282,0.0877275,1.01715,0.0185704,1.07778,0.000219074,15,856.152,29024.3,191.696
-440.342,0.997652,0.00122807,10,1023,0,452.902,2.58595,-0.660725,2.42061,1.18979,2.51613,-0.852016,0.364485,1.91066,0.713959,-2.07702,0.0322655,1.12386,-1.20813,48,55,0.0126114,0.018415,0.0994637,0.717703,2.14516,0.545292,1.12313,0.0166203,1.28913,-0.000111679,15,658.389,23192.7,217.765
-437.426,0.999351,0.00134419,10,1023,0,447.472,2.81135,-0.698442,2.30317,1.27434,2.23189,-0.239353,0.90403,1.54043,0.648871,-1.60045,0.0865714,0.731224,-1.31517,48,55,0.0132312,0.0178964,0.0968213,0.736725,2.01015,0.836307,1.37941,0.0150468,1.25821,0.000579354,15,672.509,20679.8,188.329
-432.365,0.998836,0.0020268,10,1023,0,441.829,2.13875,-0.668264,1.64658,0.487599,1.6406,-1.81436,-0.0397281,0.723448,0.683137,-0.0758995,0.0860123,0.833964,-1.27653,48,55,0.0113816,0.0183114,0.082048,0.55971,1.72928,0.0881806,0.931129,0.0115747,1.27449,0.00278995,15,672.363,21337.4,198.955
-432.588,0.998554,0.00187974,10,1023,0,445.561,2.45538,-0.656701,1.72833,-0.905156,0.50589,-1.66612,1.63131,0.816362,-0.502242,-0.525625,-0.0205585,0.849,-1.44067,48,55,0.0122523,0.0184704,0.0838874,0.24634,1.1903,0.158592,1.72487,0.0119695,0.711435,0.00213784,15,644.655,21433.6,153.816
-428.838,0.882506,0.00450157,9,511,0,437.555,1.93609,-0.65037,1.10827,-0.633468,0.522567,-1.67013,0.0175807,0.206416,-0.349508,-0.687119,0.239672,1.48793,-1.33305,48,55,0.0108242,0.0185574,0.0699362,0.30747,1.19822,0.156686,0.958351,0.00937727,0.783984,0.00190368,15,712.315,25522.7,183.411
-429.077,0.95423,0.00406088,10,1023,0,435.086,-0.334072,-0.675873,0.00154372,-1.95956,-0.752547,0.550958,0.0525443,-0.247936,-0.0116672,-1.35757,-0.892583,-1.51694,-1.51281,48,55,0.0045813,0.0182067,0.0450347,0.00909887,0.59254,1.21171,0.974959,0.00744627,0.944458,0.000931527,15,417.929,6291.59,133.976
-429.077,2.15732e-15,0.00731886,1,3,1,434.048,-0.334072,-0.675873,0.00154372,-1.95956,-0.752547,0.550958,0.0525443,-0.247936,-0.0116672,-1.35757,-0.892583,-1.51694,-1.51281,48,55,0.0045813,0.0182067,0.0450347,0.00909887,0.59254,1.21171,0.974959,0.00744627,0.944458,0.000931527,15,417.929,6291.59,133.976
-427.612,0.999794,0.000529322,10,1023,0,433.137,-0.0345087,-0.683727,0.0775562,-1.65144,-0.894427,0.00511136,-0.423336,-0.345062,-0.417465,-1.59655,-0.888828,-0.884068,-1.36969,48,55,0.0054051,0.0180988,0.046745,0.0784268,0.525147,0.952428,0.748916,0.00703348,0.751704,0.000585008,15,418.905,10342,173.334
-431.084,0.999986,0.000325038,10,1023,0,432.802,-0.383646,-0.653807,0.184883,-1.7768,-1.19582,-0.0085279,-0.741417,-0.290543,-0.51837,-1.68172,-0.982408,-0.838656,-1.3458,48,55,0.00444497,0.0185102,0.0491599,0.0502197,0.381985,0.945949,0.597827,0.00726519,0.703774,0.000461507,15,394.574,10632.6,179.905
-431.023,0.966592,0.00111594,10,1023,0,441.51,0.088877,-0.663559,-0.220593,-2.04315,0.086454,-0.42826,0.196962,-0.218433,0.0204204,-1.93233,-0.213081,-1.25757,-1.51004,48,55,0.00574441,0.0183761,0.0400366,-0.00970912,0.991066,0.746576,1.04356,0.00757166,0.9597,9.81174e-05,15,594.599,7951.57,134.74
